   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.09920   0.19124   0.27380   0.11000   0.20839   0.29635
   0.09930   0.19148   0.27422   0.10945   0.20741   0.29504
   0.09930   0.19144   0.27413   0.09926   0.18874   0.26938
   0.09939   0.19165   0.27449   0.10837   0.20548   0.29244
   0.09886   0.19011   0.27158   0.04510   0.08687   0.12559
   0.09894   0.19031   0.27194   0.10732   0.20359   0.28990
   0.09870   0.18961   0.27063   0.07403   0.14193   0.20421
   0.09882   0.18991   0.27117   0.11111   0.21036   0.29895
   0.09893   0.19019   0.27168   0.11058   0.20940   0.29767
   0.09904   0.19045   0.27215   0.11005   0.20846   0.29641
   0.09914   0.19069   0.27259   0.10952   0.20752   0.29515
   0.09923   0.19092   0.27299   0.10900   0.20659   0.29390
   0.09932   0.19112   0.27336   0.10849   0.20567   0.29267
   0.09884   0.18975   0.27076   0.04836   0.09300   0.13426
   0.09890   0.18987   0.27098   0.10444   0.19836   0.28278
   0.09843   0.18853   0.26848   0.04837   0.09366   0.13607
   0.09854   0.18883   0.26904   0.11111   0.21034   0.29890
   0.09866   0.18912   0.26957   0.11060   0.20942   0.29767
   0.09876   0.18938   0.27006   0.11009   0.20851   0.29646
   0.09881   0.18951   0.27030   0.10457   0.19858   0.28307
   0.09891   0.18974   0.27073   0.10909   0.20672   0.29406
   0.09889   0.18967   0.27061   0.09683   0.18456   0.26401
   0.09897   0.18988   0.27098   0.10811   0.20497   0.29170
   0.09904   0.19004   0.27128   0.10650   0.20207   0.28777
   0.09883   0.18945   0.27018   0.07612   0.14562   0.20910
   0.09840   0.18820   0.26784   0.04956   0.09545   0.13800
   0.09845   0.18834   0.26811   0.10465   0.19865   0.28305
   0.09855   0.18860   0.26860   0.11013   0.20857   0.29651
   0.09865   0.18885   0.26907   0.10965   0.20771   0.29535
   0.09874   0.18909   0.26951   0.10917   0.20685   0.29420
   0.09883   0.18931   0.26992   0.10870   0.20600   0.29306
   0.09891   0.18951   0.27030   0.10823   0.20516   0.29193
   0.09882   0.18925   0.26981   0.08879   0.16925   0.24216
   0.09893   0.18953   0.27033   0.11159   0.21115   0.29994
   0.09904   0.18980   0.27081   0.11111   0.21030   0.29880
   0.09913   0.19005   0.27127   0.11064   0.20946   0.29767
   0.09923   0.19028   0.27169   0.11017   0.20862   0.29655
   0.09931   0.19050   0.27209   0.10949   0.20741   0.29493
   0.09938   0.19066   0.27237   0.10714   0.20321   0.28929
   0.09938   0.19064   0.27234   0.09958   0.18932   0.27017
   0.09941   0.19070   0.27245   0.10292   0.19555   0.27890
   0.09938   0.19061   0.27226   0.09585   0.18275   0.26150
   0.09948   0.19086   0.27272   0.11157   0.21110   0.29985
   0.09956   0.19106   0.27309   0.10967   0.20768   0.29522
   0.09966   0.19129   0.27349   0.11066   0.20947   0.29767
   0.09974   0.19150   0.27386   0.11020   0.20867   0.29659
   0.09982   0.19170   0.27422   0.10976   0.20786   0.29552
   0.09986   0.19177   0.27433   0.10405   0.19748   0.28134
   0.09981   0.19161   0.27402   0.09375   0.17838   0.25477
   0.09970   0.19130   0.27344   0.08695   0.16603   0.23797
   0.09928   0.19009   0.27116   0.04640   0.08978   0.13035
   0.09937   0.19032   0.27158   0.11076   0.20964   0.29787
   0.09946   0.19056   0.27201   0.11111   0.21027   0.29872
   0.09933   0.19018   0.27131   0.08281   0.15838   0.22738
   0.09942   0.19040   0.27171   0.11024   0.20871   0.29663
   0.09950   0.19060   0.27208   0.10980   0.20794   0.29560
   0.09958   0.19080   0.27243   0.10938   0.20717   0.29457
   0.09960   0.19084   0.27252   0.10253   0.19484   0.27792
   0.09960   0.19083   0.27250   0.10000   0.19021   0.27156
   0.09952   0.19061   0.27208   0.08958   0.17116   0.24547
   0.09958   0.19073   0.27231   0.10615   0.20129   0.28651
   0.09962   0.19083   0.27249   0.10517   0.19953   0.28416
   0.09970   0.19104   0.27287   0.11069   0.20950   0.29767
   0.09978   0.19123   0.27321   0.10970   0.20773   0.29530
   0.09985   0.19142   0.27355   0.10985   0.20800   0.29567
   0.09948   0.19036   0.27154   0.05019   0.09669   0.13981
   0.09944   0.19023   0.27131   0.09417   0.17923   0.25606
   0.09951   0.19040   0.27162   0.10861   0.20580   0.29271
   0.09954   0.19048   0.27176   0.10373   0.19701   0.28086
   0.09963   0.19071   0.27218   0.11152   0.21098   0.29963
   0.09961   0.19063   0.27203   0.09667   0.18378   0.26229
   0.09969   0.19084   0.27241   0.11070   0.20951   0.29767
   0.09969   0.19084   0.27240   0.10037   0.19075   0.27213
   0.09977   0.19103   0.27274   0.10989   0.20806   0.29573
   0.09972   0.19088   0.27248   0.09343   0.17796   0.25442
   0.09979   0.19105   0.27277   0.10873   0.20599   0.29295
   0.09980   0.19107   0.27282   0.10181   0.19349   0.27603
   0.09984   0.19115   0.27296   0.10451   0.19841   0.28273
   0.09989   0.19127   0.27317   0.10665   0.20217   0.28768
   0.09997   0.19147   0.27354   0.11111   0.21023   0.29862
   0.10004   0.19167   0.27388   0.11071   0.20952   0.29767
   0.10011   0.19185   0.27420   0.11032   0.20882   0.29673
   0.09978   0.19090   0.27242   0.05337   0.10266   0.14825
   0.09985   0.19108   0.27274   0.10954   0.20743   0.29486
   0.09990   0.19120   0.27295   0.10669   0.20229   0.28793
   0.09996   0.19133   0.27320   0.10772   0.20417   0.29049
   0.09990   0.19115   0.27286   0.09143   0.17424   0.24923
   0.09997   0.19133   0.27319   0.11010   0.20841   0.29614
   0.09975   0.19072   0.27204   0.06910   0.13228   0.19009
   0.09983   0.19092   0.27239   0.11073   0.20953   0.29767
   0.09990   0.19110   0.27273   0.11034   0.20885   0.29676
   0.09997   0.19128   0.27304   0.10997   0.20818   0.29585
   0.10004   0.19144   0.27334   0.10959   0.20750   0.29495
   0.10009   0.19159   0.27360   0.10853   0.20561   0.29242
   0.10000   0.19132   0.27311   0.08656   0.16540   0.23721
   0.10004   0.19140   0.27325   0.10492   0.19913   0.28370
   0.10010   0.19157   0.27356   0.11014   0.20844   0.29615
   0.10018   0.19176   0.27390   0.11111   0.21021   0.29856
   0.10025   0.19194   0.27421   0.11074   0.20955   0.29767
   0.10032   0.19211   0.27451   0.11037   0.20888   0.29679
   0.10038   0.19227   0.27480   0.11000   0.20823   0.29591
   0.10027   0.19195   0.27421   0.08389   0.16040   0.23020
   0.10033   0.19209   0.27446   0.10894   0.20633   0.29337
   0.10033   0.19209   0.27444   0.10083   0.19155   0.27317
   0.10036   0.19215   0.27456   0.10477   0.19885   0.28331
   0.10043   0.19234   0.27488   0.11148   0.21085   0.29940
   0.10050   0.19251   0.27519   0.11111   0.21020   0.29853
   0.10057   0.19268   0.27548   0.11075   0.20955   0.29767
   0.10063   0.19284   0.27576   0.11039   0.20891   0.29681
   0.10060   0.19272   0.27554   0.09531   0.18116   0.25851
   0.10066   0.19287   0.27579   0.10968   0.20764   0.29511
   0.10059   0.19267   0.27541   0.09035   0.17216   0.24625
   0.10062   0.19274   0.27553   0.10529   0.19975   0.28447
   0.10056   0.19255   0.27518   0.09105   0.17361   0.24846
   0.10063   0.19273   0.27549   0.11146   0.21082   0.29935
   0.10070   0.19289   0.27578   0.11111   0.21019   0.29851
   0.10076   0.19305   0.27606   0.11076   0.20956   0.29767
   0.10082   0.19320   0.27632   0.11041   0.20894   0.29684
   0.10088   0.19334   0.27657   0.11006   0.20832   0.29601
   0.10086   0.19328   0.27644   0.09812   0.18659   0.26635
   0.10072   0.19288   0.27568   0.07828   0.15004   0.21583
   0.10077   0.19299   0.27589   0.10857   0.20565   0.29242
   0.10058   0.19245   0.27488   0.07019   0.13476   0.19419
   0.10065   0.19262   0.27518   0.11146   0.21080   0.29930
   0.10071   0.19277   0.27544   0.11034   0.20881   0.29665
   0.10061   0.19249   0.27492   0.08523   0.16253   0.23268
   0.10066   0.19261   0.27513   0.10844   0.20537   0.29201
   0.10064   0.19256   0.27503   0.09832   0.18697   0.26690
   0.10070   0.19270   0.27527   0.10960   0.20749   0.29489
   0.10075   0.19283   0.27550   0.10942   0.20717   0.29445
   0.10062   0.19245   0.27480   0.07879   0.15096   0.21709
