   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.25200   0.43509   0.56838   0.25259   0.43556   0.56872
Max = 
   0.25324   0.43699   0.61323   0.30000   0.53333   0.73125
Min = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
SD = 
   0.00632   0.00790   0.00722   0.04874   0.07845   0.09543
Last = 
   0.25320   0.43657   0.56993   0.25690   0.44254   0.57729

data = 
   0.24846   0.43545   0.57301   0.29063   0.49734   0.64412
   0.24794   0.43410   0.57073   0.20414   0.35859   0.47616
   0.24739   0.43262   0.56821   0.20029   0.35021   0.46314
   0.24797   0.43393   0.57025   0.29737   0.50752   0.65567
   0.24793   0.43382   0.57008   0.24520   0.42737   0.56301
   0.24713   0.43181   0.56678   0.17818   0.31735   0.42670
   0.24716   0.43185   0.56688   0.24943   0.43403   0.57104
   0.24747   0.43254   0.56801   0.27414   0.47280   0.61674
   0.24599   0.42883   0.56183   0.11676   0.21354   0.29452
   0.24643   0.42987   0.56351   0.28559   0.49015   0.63649
   0.24693   0.43101   0.56534   0.29087   0.49809   0.64543
   0.24571   0.42800   0.56042   0.13743   0.25032   0.34386
   0.24625   0.42924   0.56242   0.29444   0.50314   0.65076
   0.24623   0.42916   0.56231   0.24406   0.42420   0.55764
   0.24672   0.43030   0.56414   0.29135   0.49880   0.64622
   0.24554   0.42732   0.55919   0.13770   0.24762   0.33639
   0.24610   0.42864   0.56130   0.29796   0.50828   0.65640
   0.24656   0.42971   0.56303   0.28905   0.49525   0.64211
   0.24614   0.42867   0.56139   0.20685   0.36491   0.48622
   0.24656   0.42965   0.56298   0.28596   0.49031   0.63621
   0.24600   0.42826   0.56076   0.19295   0.34210   0.45818
   0.24567   0.42748   0.55957   0.21521   0.37884   0.50399
   0.24623   0.42877   0.56161   0.29855   0.50907   0.65719
   0.24663   0.42972   0.56316   0.28547   0.48982   0.63594
   0.24588   0.42786   0.56013   0.17383   0.30983   0.41697
   0.24591   0.42794   0.56032   0.24909   0.43315   0.56942
   0.24644   0.42916   0.56227   0.29729   0.50727   0.65526
   0.24694   0.43032   0.56412   0.29564   0.50492   0.65276
   0.24633   0.42884   0.56179   0.18622   0.33298   0.44927
   0.24649   0.42923   0.56247   0.26269   0.45479   0.59548
   0.24690   0.43018   0.56400   0.28750   0.49258   0.63870
   0.24659   0.42937   0.56267   0.21508   0.37614   0.49746
   0.24711   0.43058   0.56457   0.29950   0.51035   0.65848
   0.24736   0.43115   0.56552   0.27177   0.46903   0.61230
   0.24664   0.42937   0.56259   0.17438   0.31032   0.41702
   0.24645   0.42891   0.56188   0.22783   0.39814   0.52599
   0.24482   0.42474   0.55477   0.07917   0.14396   0.19784
   0.24532   0.42591   0.55669   0.29610   0.50550   0.65330
   0.24569   0.42681   0.55817   0.28410   0.48772   0.63354
   0.24592   0.42734   0.55907   0.26896   0.46364   0.60478
   0.24589   0.42729   0.55906   0.24279   0.42368   0.55893
   0.24557   0.42656   0.55798   0.21304   0.37631   0.50202
   0.24607   0.42772   0.55984   0.29810   0.50833   0.65629
   0.24651   0.42875   0.56149   0.29242   0.50007   0.64730
   0.24655   0.42883   0.56166   0.25071   0.43496   0.57069
   0.24617   0.42791   0.56017   0.20657   0.36275   0.48147
   0.24667   0.42905   0.56198   0.29907   0.50967   0.65770
   0.24679   0.42932   0.56245   0.25942   0.44884   0.58744
   0.24645   0.42849   0.56112   0.21019   0.36925   0.49026
   0.24693   0.42961   0.56290   0.29931   0.51000   0.65803
   0.24719   0.43023   0.56391   0.27546   0.47448   0.61833
   0.24706   0.42992   0.56346   0.23276   0.40744   0.53899
   0.24754   0.43101   0.56517   0.29943   0.51015   0.65816
   0.24658   0.42865   0.56130   0.14129   0.25618   0.35053
   0.24664   0.42881   0.56163   0.25338   0.44055   0.57916
   0.24627   0.42790   0.56021   0.20471   0.36153   0.48221
   0.24674   0.42899   0.56194   0.29911   0.50969   0.65767
   0.24553   0.42597   0.55691   0.11022   0.20143   0.27771
   0.24502   0.42475   0.55499   0.18761   0.33360   0.44808
   0.24530   0.42543   0.55613   0.27687   0.47634   0.62011
   0.24553   0.42602   0.55713   0.27259   0.47011   0.61333
   0.24568   0.42637   0.55773   0.26201   0.45273   0.59174
   0.24615   0.42746   0.55948   0.29967   0.51046   0.65845
   0.24632   0.42786   0.56015   0.26591   0.45864   0.59848
   0.24639   0.42804   0.56048   0.25453   0.44165   0.57950
   0.24575   0.42647   0.55794   0.17178   0.30602   0.41164
   0.24619   0.42751   0.55960   0.29765   0.50756   0.65533
   0.24646   0.42816   0.56067   0.27830   0.47873   0.62311
   0.24631   0.42780   0.56013   0.22881   0.39995   0.52843
   0.24676   0.42883   0.56176   0.29895   0.50939   0.65728
   0.24690   0.42918   0.56236   0.26376   0.45649   0.59751
   0.24674   0.42880   0.56178   0.22793   0.39875   0.52728
   0.24684   0.42904   0.56221   0.25823   0.44821   0.58825
   0.24695   0.42934   0.56274   0.26120   0.45288   0.59376
   0.24733   0.43021   0.56413   0.29277   0.50043   0.64753
   0.24711   0.42967   0.56326   0.22058   0.38619   0.51106
   0.24754   0.43065   0.56480   0.29908   0.50957   0.65746
   0.24786   0.43140   0.56600   0.28724   0.49228   0.63851
   0.24716   0.42967   0.56314   0.16169   0.28874   0.38925
   0.24758   0.43064   0.56467   0.29960   0.51029   0.65820
   0.24785   0.43126   0.56567   0.28034   0.48190   0.62679
   0.24773   0.43097   0.56521   0.23303   0.40697   0.53722
   0.24814   0.43191   0.56669   0.29930   0.50985   0.65772
   0.24785   0.43123   0.56564   0.21116   0.37424   0.50077
   0.24764   0.43071   0.56478   0.22232   0.38756   0.51114
   0.24674   0.42849   0.56115   0.13310   0.24289   0.33424
   0.24715   0.42944   0.56265   0.29862   0.50889   0.65671
   0.24748   0.43020   0.56388   0.28902   0.49500   0.64164
   0.24747   0.43018   0.56384   0.24648   0.42773   0.56137
   0.24768   0.43068   0.56468   0.27490   0.47387   0.61793
   0.24792   0.43124   0.56558   0.27829   0.47868   0.62297
   0.24770   0.43071   0.56475   0.21940   0.38540   0.51157
   0.24699   0.42896   0.56188   0.15481   0.27810   0.37733
   0.24675   0.42840   0.56102   0.21628   0.38030   0.50553
   0.24708   0.42918   0.56227   0.29008   0.49659   0.64343
   0.24737   0.42986   0.56337   0.28508   0.48905   0.63490
   0.24774   0.43073   0.56474   0.29697   0.50646   0.65404
   0.24656   0.42771   0.55963   0.08981   0.16343   0.22467
   0.24609   0.42657   0.55779   0.18412   0.32639   0.43714
   0.24647   0.42747   0.55924   0.29738   0.50710   0.65477
   0.24675   0.42813   0.56032   0.28330   0.48633   0.63177
   0.24703   0.42880   0.56141   0.28485   0.48856   0.63416
   0.24685   0.42838   0.56077   0.22315   0.39083   0.51765
   0.24721   0.42922   0.56211   0.29576   0.50474   0.65220
   0.24659   0.42773   0.55971   0.16296   0.29339   0.39861
   0.24685   0.42836   0.56074   0.28233   0.48486   0.63013
   0.24694   0.42858   0.56115   0.25867   0.44867   0.58854
   0.24731   0.42944   0.56251   0.29782   0.50770   0.65539
   0.24738   0.42960   0.56280   0.25670   0.44458   0.58238
   0.24706   0.42883   0.56159   0.20280   0.35845   0.47883
   0.24713   0.42902   0.56192   0.25710   0.44571   0.58440
   0.24716   0.42908   0.56204   0.25099   0.43518   0.57079
   0.24750   0.42988   0.56331   0.29500   0.50363   0.65098
   0.24784   0.43069   0.56459   0.29653   0.50582   0.65334
   0.24667   0.42771   0.55956   0.08129   0.15001   0.20883
   0.24658   0.42749   0.55922   0.23375   0.40666   0.53513
   0.24646   0.42719   0.55874   0.23011   0.39967   0.52534
   0.24681   0.42802   0.56006   0.29658   0.50591   0.65346
   0.24683   0.42808   0.56019   0.24956   0.43342   0.56928
   0.24624   0.42664   0.55787   0.16193   0.29025   0.39299
   0.24517   0.42395   0.55336   0.09167   0.16778   0.23188
   0.24541   0.42454   0.55435   0.27915   0.48019   0.62498
   0.24560   0.42502   0.55517   0.27353   0.47110   0.61396
   0.24595   0.42586   0.55653   0.29751   0.50721   0.65481
   0.24607   0.42615   0.55705   0.26224   0.45408   0.59467
   0.24603   0.42609   0.55700   0.24087   0.41990   0.55342
   0.24601   0.42607   0.55703   0.24362   0.42449   0.55929
   0.24636   0.42689   0.55835   0.29737   0.50702   0.65461
   0.24585   0.42566   0.55640   0.17052   0.30545   0.41317
   0.24610   0.42627   0.55740   0.28325   0.48598   0.63109
   0.24634   0.42685   0.55836   0.28163   0.48380   0.62892
   0.24657   0.42741   0.55928   0.28119   0.48287   0.62754
   0.24692   0.42823   0.56059   0.29958   0.51012   0.65786
   0.24667   0.42764   0.55968   0.20922   0.36889   0.49165
   0.24686   0.42810   0.56044   0.27558   0.47416   0.61736
   0.24663   0.42754   0.55956   0.21064   0.37108   0.49401
   0.24697   0.42834   0.56083   0.29836   0.50837   0.65601
   0.24682   0.42797   0.56025   0.22434   0.39135   0.51635
   0.24698   0.42837   0.56091   0.27149   0.46829   0.61111
   0.24714   0.42874   0.56152   0.27150   0.46710   0.60827
   0.24745   0.42948   0.56269   0.29562   0.50439   0.65166
   0.24701   0.42841   0.56096   0.17945   0.31907   0.42849
   0.24735   0.42920   0.56221   0.29992   0.51057   0.65831
   0.24745   0.42944   0.56261   0.26310   0.45417   0.59321
   0.24754   0.42965   0.56299   0.26034   0.45152   0.59215
   0.24729   0.42907   0.56207   0.20879   0.36847   0.49142
   0.24719   0.42884   0.56173   0.23185   0.40512   0.53534
   0.24751   0.42959   0.56292   0.29817   0.50811   0.65571
   0.24737   0.42927   0.56244   0.22516   0.39526   0.52436
   0.24767   0.42997   0.56354   0.29472   0.50308   0.65024
   0.24794   0.43059   0.56454   0.29002   0.49635   0.64302
   0.24751   0.42957   0.56292   0.18002   0.32223   0.43531
   0.24784   0.43033   0.56411   0.29984   0.51044   0.65815
   0.24804   0.43081   0.56488   0.28076   0.48182   0.62584
   0.24776   0.43011   0.56375   0.20194   0.35571   0.47353
   0.24742   0.42929   0.56242   0.19272   0.34120   0.45630
   0.24722   0.42881   0.56163   0.21574   0.37712   0.49864
   0.24651   0.42705   0.55873   0.13115   0.23757   0.32489
   0.24671   0.42754   0.55955   0.27975   0.48083   0.62541
   0.24664   0.42738   0.55932   0.23479   0.40993   0.54126
   0.24689   0.42798   0.56030   0.28834   0.49371   0.63991
   0.24718   0.42865   0.56138   0.29369   0.50171   0.64888
   0.24634   0.42656   0.55786   0.10856   0.19705   0.27021
   0.24645   0.42682   0.55830   0.26480   0.45613   0.59473
   0.24669   0.42740   0.55923   0.28630   0.49039   0.63587
   0.24602   0.42577   0.55660   0.13498   0.24645   0.33926
   0.24621   0.42623   0.55736   0.27717   0.47670   0.62043
   0.24651   0.42695   0.55852   0.29739   0.50696   0.65446
   0.24599   0.42567   0.55646   0.15789   0.28380   0.38525
   0.24625   0.42631   0.55749   0.29080   0.49722   0.64366
   0.24612   0.42599   0.55701   0.22337   0.39063   0.51663
   0.24592   0.42554   0.55632   0.21268   0.37456   0.49866
   0.24623   0.42627   0.55750   0.29860   0.50865   0.65623
   0.24647   0.42684   0.55842   0.28673   0.49115   0.63684
   0.24639   0.42668   0.55822   0.23392   0.40909   0.54090
   0.24622   0.42629   0.55763   0.21698   0.38175   0.50755
   0.24615   0.42613   0.55740   0.23423   0.40797   0.53755
   0.24612   0.42607   0.55733   0.24065   0.41897   0.55169
   0.24640   0.42674   0.55840   0.29473   0.50314   0.65037
   0.24670   0.42745   0.55953   0.29899   0.50919   0.65678
   0.24682   0.42775   0.56005   0.26760   0.46254   0.60475
   0.24681   0.42773   0.56005   0.24420   0.42534   0.56017
   0.24698   0.42816   0.56076   0.27764   0.47770   0.62194
   0.24723   0.42873   0.56167   0.28981   0.49523   0.64076
   0.24704   0.42829   0.56099   0.21470   0.37759   0.50184
   0.24725   0.42880   0.56181   0.28463   0.48795   0.63317
   0.24755   0.42948   0.56287   0.29894   0.50911   0.65669
   0.24770   0.42985   0.56348   0.27458   0.47329   0.61718
   0.24733   0.42895   0.56203   0.18181   0.32313   0.43374
   0.24724   0.42873   0.56171   0.23081   0.40341   0.53321
   0.24752   0.42940   0.56277   0.29881   0.50892   0.65649
   0.24756   0.42951   0.56296   0.25467   0.44225   0.58073
   0.24759   0.42956   0.56305   0.25160   0.43540   0.57023
   0.24779   0.43003   0.56380   0.28373   0.48642   0.63126
   0.24786   0.43020   0.56408   0.26057   0.45031   0.58886
   0.24787   0.43023   0.56413   0.25055   0.43415   0.56913
   0.24815   0.43088   0.56515   0.29911   0.50932   0.65690
   0.24770   0.42978   0.56334   0.16623   0.29641   0.39947
   0.24777   0.42994   0.56363   0.25956   0.44990   0.58982
   0.24800   0.43049   0.56450   0.29094   0.49743   0.64390
   0.24819   0.43093   0.56519   0.28186   0.48354   0.62792
   0.24788   0.43019   0.56400   0.19180   0.34004   0.45539
   0.24816   0.43083   0.56500   0.29905   0.50924   0.65679
   0.24823   0.43100   0.56527   0.26186   0.45206   0.59062
   0.24829   0.43114   0.56552   0.25847   0.44829   0.58804
   0.24792   0.43023   0.56400   0.18070   0.31800   0.42313
   0.24791   0.43020   0.56395   0.24612   0.42682   0.56012
   0.24772   0.42975   0.56324   0.21220   0.37332   0.49659
   0.24783   0.43000   0.56366   0.26715   0.46159   0.60333
   0.24809   0.43062   0.56463   0.29814   0.50795   0.65542
   0.24834   0.43119   0.56553   0.29425   0.50235   0.64939
   0.24824   0.43094   0.56511   0.22955   0.39951   0.52610
   0.24851   0.43156   0.56607   0.29901   0.50916   0.65669
   0.24866   0.43192   0.56666   0.27835   0.47806   0.62151
   0.24838   0.43122   0.56551   0.19437   0.34293   0.45728
   0.24811   0.43055   0.56441   0.19615   0.34540   0.45975
   0.24835   0.43113   0.56532   0.29564   0.50429   0.65143
   0.24857   0.43163   0.56611   0.29000   0.49601   0.64230
   0.24832   0.43104   0.56516   0.20071   0.35478   0.47393
   0.24818   0.43069   0.56457   0.22171   0.38578   0.50800
   0.24828   0.43093   0.56497   0.26778   0.46208   0.60336
   0.24830   0.43097   0.56506   0.25135   0.43669   0.57386
   0.24836   0.43112   0.56529   0.26058   0.44978   0.58764
   0.24861   0.43169   0.56619   0.29680   0.50602   0.65334
   0.24855   0.43153   0.56595   0.23584   0.41123   0.54227
   0.24844   0.43126   0.56550   0.22716   0.39605   0.52231
   0.24869   0.43186   0.56643   0.29918   0.50938   0.65691
   0.24880   0.43211   0.56683   0.26968   0.46490   0.60650
   0.24870   0.43185   0.56641   0.22904   0.39868   0.52501
   0.24887   0.43224   0.56703   0.28174   0.48324   0.62747
   0.24911   0.43281   0.56791   0.29812   0.50787   0.65530
   0.24888   0.43225   0.56701   0.20238   0.35789   0.47808
   0.24912   0.43281   0.56788   0.29737   0.50679   0.65411
   0.24929   0.43321   0.56851   0.28373   0.48633   0.63108
   0.24920   0.43297   0.56813   0.23029   0.40176   0.53009
   0.24896   0.43238   0.56719   0.20000   0.35381   0.47279
   0.24921   0.43296   0.56808   0.29944   0.50974   0.65728
   0.24917   0.43286   0.56790   0.24148   0.41917   0.55052
   0.24892   0.43225   0.56690   0.19969   0.35080   0.46604
   0.24917   0.43281   0.56777   0.29810   0.50783   0.65525
   0.24860   0.43141   0.56546   0.13382   0.24254   0.33181
   0.24880   0.43188   0.56620   0.28955   0.49538   0.64164
   0.24904   0.43243   0.56706   0.29774   0.50730   0.65464
   0.24919   0.43278   0.56763   0.27981   0.48073   0.62512
   0.24906   0.43247   0.56714   0.22288   0.39051   0.51723
   0.24888   0.43203   0.56644   0.21102   0.37170   0.49470
   0.24878   0.43180   0.56608   0.22893   0.40039   0.52960
   0.24902   0.43235   0.56694   0.29825   0.50805   0.65548
   0.24893   0.43215   0.56663   0.23149   0.40424   0.53377
   0.24917   0.43270   0.56748   0.29820   0.50798   0.65540
   0.24850   0.43103   0.56468   0.10945   0.19957   0.27476
   0.24861   0.43128   0.56508   0.27106   0.46609   0.60669
   0.24838   0.43073   0.56422   0.20036   0.35448   0.47398
   0.24862   0.43128   0.56508   0.29840   0.50825   0.65569
   0.24848   0.43097   0.56460   0.22002   0.38700   0.51447
   0.24860   0.43126   0.56508   0.27423   0.47212   0.61510
   0.24884   0.43181   0.56594   0.29917   0.50934   0.65683
   0.24902   0.43223   0.56661   0.28706   0.49153   0.63718
   0.24901   0.43219   0.56656   0.24554   0.42680   0.56116
   0.24924   0.43274   0.56741   0.29959   0.50992   0.65743
   0.24930   0.43288   0.56763   0.26244   0.45256   0.59067
   0.24915   0.43250   0.56702   0.21603   0.37902   0.50270
