   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.80592   0.90253   0.93448   0.85450   0.94877   0.97619
   0.80647   0.90333   0.93540   0.86486   0.95876   0.98381
   0.80674   0.90371   0.93589   0.83556   0.93075   0.96162
   0.80728   0.90446   0.93677   0.86425   0.95767   0.98279
   0.80777   0.90515   0.93757   0.86012   0.95392   0.98031
   0.80765   0.90487   0.93723   0.79468   0.88509   0.91877
   0.80815   0.90555   0.93800   0.86187   0.95418   0.97944
   0.80811   0.90545   0.93791   0.80459   0.89786   0.93286
   0.80823   0.90556   0.93806   0.82146   0.91411   0.94640
   0.80864   0.90611   0.93870   0.85330   0.94580   0.97319
   0.80917   0.90684   0.93952   0.86731   0.96003   0.98454
   0.80941   0.90701   0.93959   0.83626   0.91994   0.94318
   0.80994   0.90773   0.94040   0.86816   0.96048   0.98479
   0.80929   0.90666   0.93913   0.73705   0.82773   0.86936
   0.80816   0.90483   0.93678   0.68144   0.76887   0.80616
   0.80757   0.90391   0.93567   0.74148   0.83491   0.87391
   0.80727   0.90337   0.93503   0.77302   0.86247   0.89891
   0.80766   0.90392   0.93569   0.85241   0.94542   0.97296
   0.80812   0.90457   0.93647   0.85972   0.95387   0.98049
   0.80767   0.90378   0.93544   0.75696   0.84403   0.87711
   0.80700   0.90267   0.93405   0.73019   0.81806   0.85451
   0.80587   0.90090   0.93192   0.67468   0.76533   0.81016
   0.80631   0.90156   0.93273   0.85751   0.95230   0.97930
   0.80670   0.90212   0.93340   0.85256   0.94529   0.97209
   0.80716   0.90277   0.93416   0.86064   0.95315   0.97840
   0.80765   0.90348   0.93500   0.86547   0.95884   0.98364
   0.80731   0.90283   0.93412   0.76698   0.85207   0.88311
   0.80781   0.90355   0.93497   0.86660   0.95993   0.98447
   0.80828   0.90423   0.93577   0.86506   0.95804   0.98289
   0.80756   0.90296   0.93412   0.72083   0.80241   0.83634
   0.80792   0.90341   0.93459   0.85093   0.93931   0.96287
   0.80783   0.90328   0.93451   0.79742   0.89257   0.92944
