a b c content serial module panel stage
1811 0.91332 0.6779 0.14975 1 181 23 1 1
1821 0.90487 0.68147 0.19902 1 182 23 1 1
2391 1.66544 0.7285 0.0981 3 239 23 1 1
2561 1.93513 1.83794 0.18836 2 256 23 1 1
2781 1.24214 1.79488 0.20648 3 278 23 1 1
2911 0.93878 2.26758 0.25055 2 291 23 1 1
2922 0.90249 2.30378 0.1471 2 292 23 1 1
55 0.35074 -2.66541 0.2052 1 5 24 1 1
67 0.37622 -2.50664 0.2354 1 6 24 1 1
1292 1.38875 0.47849 0.11522 2 129 24 1 1
150 1.269 0.6906 0.09007 2 150 24 1 1
177 0.98843 0.07261 0.11335 3 177 24 1 1
188 0.94775 0.7774 0.21869 1 188 24 1 1
2392 1.66544 0.7285 0.0981 3 239 24 1 1
2722 1.608 2.01146 0.09196 2 272 24 1 1
2831 1.14926 1.99497 0.11357 1 283 24 1 1
2912 0.93878 2.26758 0.25055 2 291 24 1 1
492 1.09781 -0.25021 0.052 2 49 25 1 1
511 0.93593 -0.20202 0.17977 2 51 25 1 1
641 1.02068 -0.49628 0.25138 1 64 25 1 1
90 1.0046 0.1092 0.08802 2 90 25 1 1
972 1.04963 -0.60418 0.09479 3 97 25 1 1
1032 0.93621 -0.05029 0.14846 1 103 25 1 1
106 0.9491 -0.01374 0.06349 1 106 25 1 1
1201 0.97426 -0.40939 0.05283 3 120 25 1 1
1241 1.04105 0.08671 0.16097 1 124 25 1 1
231 1.28432 1.43018 0.09536 2 231 25 1 1
512 0.93593 -0.20202 0.17977 2 51 26 1 1
621 0.73199 -0.59644 0.11454 1 62 26 1 1
632 0.90327 -0.54208 0.14408 1 63 26 1 1
761 1.10579 0.07243 0.16636 2 76 26 1 1
901 1.0046 0.1092 0.08802 2 90 26 1 1
1001 1.05442 -0.50597 0.08432 3 100 26 1 1
1061 0.9491 -0.01374 0.06349 1 106 26 1 1
1141 1.07636 0.37194 0.02523 2 114 26 1 1
137 0.71958 -0.34696 0.06723 3 137 26 1 1
146 1.01454 0.33055 0.23742 1 146 26 1 1
226 0.48935 -1.78184 0.18681 1 22 27 1 1
642 1.02068 -0.49628 0.25138 1 64 27 1 1
852 1.091 -0.19352 0.17694 1 85 27 1 1
902 1.0046 0.1092 0.08802 2 90 27 1 1
1002 1.05442 -0.50597 0.08432 3 100 27 1 1
1062 0.9491 -0.01374 0.06349 1 106 27 1 1
1142 1.07636 0.37194 0.02523 2 114 27 1 1
1172 1.35127 -0.47087 0.09622 3 117 27 1 1
2131 1.02427 1.33306 0.23151 2 213 27 1 1
2311 1.28432 1.43018 0.09536 2 231 27 1 1
122 0.83806 -1.22873 0.13238 2 12 28 1 1
13 0.76663 -1.06104 0.1238 2 13 28 1 1
20 1.1064 -1.3969 0.19598 3 20 28 1 1
23 0.78774 -1.73743 0.17432 1 23 28 1 1
24 1.01832 -1.70256 0.32517 1 24 28 1 1
274 0.73863 -1.25067 0.10454 1 27 28 1 1
29 1.21828 -0.8066 0.21113 2 29 28 1 1
321 1.17266 -0.76548 0.16692 2 32 28 1 1
37 1.18722 -1.31787 0.13321 3 37 28 1 1
423 0.87388 -0.99558 0.22001 1 42 28 1 1
125 0.83806 -1.22873 0.13238 2 12 29 1 1
131 0.76663 -1.06104 0.1238 2 13 29 1 1
202 1.1064 -1.3969 0.19598 3 20 29 1 1
232 0.78774 -1.73743 0.17432 1 23 29 1 1
241 1.01832 -1.70256 0.32517 1 24 29 1 1
296 1.21828 -0.8066 0.21113 2 29 29 1 1
322 1.17266 -0.76548 0.16692 2 32 29 1 1
371 1.18722 -1.31787 0.13321 3 37 29 1 1
431 0.94676 -0.93393 0.06713 1 43 29 1 1
452 0.83992 -0.74371 0.11924 1 45 29 1 1
126 0.83806 -1.22873 0.13238 2 12 30 1 1
132 0.76663 -1.06104 0.1238 2 13 30 1 1
203 1.1064 -1.3969 0.19598 3 20 30 1 1
233 0.78774 -1.73743 0.17432 1 23 30 1 1
242 1.01832 -1.70256 0.32517 1 24 30 1 1
277 0.73863 -1.25067 0.10454 1 27 30 1 1
2910 1.21828 -0.8066 0.21113 2 29 30 1 1
323 1.17266 -0.76548 0.16692 2 32 30 1 1
372 1.18722 -1.31787 0.13321 3 37 30 1 1
432 0.94676 -0.93393 0.06713 1 43 30 1 1
