   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.25092   0.43335   0.56621   0.25160   0.43389   0.56663
Max = 
   0.25240   0.43547   0.57535   0.30000   0.52944   0.70396
Min = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
SD = 
   0.00635   0.00789   0.00701   0.04959   0.07970   0.09681
Last = 
   0.25230   0.43508   0.56803   0.26440   0.45526   0.59357

data = 
   0.24746   0.43505   0.57328   0.27421   0.47226   0.61530
   0.24683   0.43345   0.57064   0.19701   0.34933   0.46768
   0.24722   0.43428   0.57192   0.27812   0.47829   0.62231
   0.24770   0.43534   0.57355   0.28634   0.49135   0.63791
   0.24735   0.43438   0.57193   0.21883   0.38319   0.50722
   0.24638   0.43191   0.56783   0.16779   0.29966   0.40408
   0.24690   0.43308   0.56966   0.28948   0.49616   0.64343
   0.24648   0.43194   0.56770   0.21227   0.37004   0.48809
   0.24690   0.43286   0.56914   0.28133   0.48318   0.62790
   0.24752   0.43424   0.57126   0.29895   0.50979   0.65811
   0.24801   0.43531   0.57293   0.28869   0.49487   0.64186
   0.24728   0.43345   0.56982   0.18639   0.32960   0.44056
   0.24655   0.43150   0.56645   0.18471   0.32234   0.42585
   0.24715   0.43285   0.56855   0.29825   0.50877   0.65701
   0.24622   0.43050   0.56468   0.16672   0.29750   0.40107
   0.24543   0.42853   0.56147   0.17760   0.31611   0.42495
   0.24500   0.42746   0.55979   0.20790   0.36640   0.48803
   0.24514   0.42778   0.56038   0.25686   0.44600   0.58551
   0.24453   0.42630   0.55806   0.19148   0.34081   0.45812
   0.24509   0.42760   0.56015   0.29435   0.50315   0.65094
   0.24561   0.42879   0.56207   0.29115   0.49860   0.64610
   0.24470   0.42656   0.55849   0.16369   0.29482   0.40068
   0.24526   0.42786   0.56059   0.29597   0.50550   0.65350
   0.24466   0.42631   0.55798   0.19047   0.33365   0.44220
   0.24512   0.42739   0.55974   0.28695   0.49195   0.63822
   0.24400   0.42463   0.55527   0.14194   0.25817   0.35406
   0.24458   0.42598   0.55745   0.29783   0.50809   0.65619
   0.24489   0.42672   0.55869   0.27351   0.47171   0.61532
   0.24500   0.42698   0.55919   0.25524   0.44315   0.58177
   0.24557   0.42829   0.56127   0.29853   0.50906   0.65720
   0.24503   0.42694   0.55910   0.19402   0.34320   0.45882
   0.24516   0.42725   0.55966   0.25714   0.44617   0.58542
   0.24572   0.42853   0.56170   0.29868   0.50925   0.65738
   0.24607   0.42935   0.56304   0.27932   0.48079   0.62602
   0.24560   0.42819   0.56118   0.20091   0.35467   0.47322
   0.24522   0.42726   0.55973   0.20881   0.36832   0.49076
   0.24577   0.42852   0.56173   0.29858   0.50910   0.65719
   0.24591   0.42885   0.56230   0.25974   0.45003   0.58966
   0.24531   0.42741   0.56002   0.18737   0.33419   0.45009
   0.24572   0.42835   0.56155   0.28528   0.48967   0.63594
   0.24620   0.42946   0.56331   0.29331   0.50150   0.64901
   0.24549   0.42762   0.56019   0.17525   0.30713   0.40734
   0.24603   0.42887   0.56216   0.30000   0.51106   0.65922
   0.24600   0.42879   0.56209   0.24328   0.42380   0.55827
   0.24526   0.42694   0.55907   0.17030   0.30369   0.40914
   0.24525   0.42694   0.55913   0.24470   0.42651   0.56184
   0.24373   0.42306   0.55258   0.08885   0.16230   0.22376
   0.24424   0.42428   0.55456   0.29683   0.50656   0.65445
   0.24442   0.42472   0.55532   0.26311   0.45451   0.59388
   0.24492   0.42588   0.55720   0.29589   0.50516   0.65288
   0.24530   0.42679   0.55869   0.28498   0.48910   0.63517
   0.24515   0.42644   0.55820   0.22967   0.40252   0.53316
   0.24567   0.42763   0.56010   0.29940   0.51017   0.65823
   0.24601   0.42844   0.56142   0.28235   0.48496   0.63028
   0.24579   0.42788   0.56052   0.22252   0.38878   0.51354
   0.24457   0.42479   0.55531   0.11526   0.20736   0.28167
   0.24508   0.42598   0.55722   0.29907   0.50967   0.65770
   0.24532   0.42655   0.55819   0.27105   0.46745   0.60989
   0.24510   0.42601   0.55734   0.22141   0.38722   0.51187
   0.24560   0.42717   0.55919   0.29954   0.51033   0.65837
   0.24592   0.42793   0.56045   0.28108   0.48314   0.62832
   0.24554   0.42702   0.55904   0.20331   0.36053   0.48279
   0.24603   0.42815   0.56085   0.30000   0.51096   0.65902
   0.24587   0.42778   0.56032   0.22817   0.40058   0.53150
   0.24547   0.42681   0.55878   0.20146   0.35544   0.47404
   0.24538   0.42659   0.55846   0.23543   0.41045   0.54109
   0.24584   0.42766   0.56016   0.29710   0.50671   0.65435
   0.24451   0.42430   0.55451   0.09522   0.17433   0.24083
   0.24423   0.42365   0.55358   0.21272   0.37570   0.50134
   0.24459   0.42452   0.55501   0.28590   0.48990   0.63541
   0.24392   0.42288   0.55236   0.16765   0.29916   0.40331
   0.24428   0.42375   0.55381   0.28504   0.48940   0.63575
   0.24475   0.42485   0.55559   0.29848   0.50878   0.65668
   0.24515   0.42580   0.55714   0.29123   0.49833   0.64538
   0.24512   0.42574   0.55711   0.24138   0.42102   0.55513
   0.24490   0.42523   0.55632   0.21974   0.38552   0.51131
   0.24536   0.42631   0.55805   0.29915   0.50970   0.65764
   0.24552   0.42668   0.55869   0.26404   0.45615   0.59615
   0.24513   0.42571   0.55708   0.19905   0.34929   0.46334
   0.24548   0.42654   0.55843   0.28703   0.49159   0.63731
   0.24588   0.42747   0.55993   0.29296   0.50074   0.64790
   0.24556   0.42671   0.55873   0.20816   0.36665   0.48819
   0.24532   0.42615   0.55790   0.21646   0.38158   0.50831
   0.24529   0.42610   0.55790   0.24212   0.42276   0.55802
   0.24568   0.42702   0.55937   0.29236   0.50000   0.64726
   0.24578   0.42726   0.55980   0.25813   0.44702   0.58563
   0.24622   0.42827   0.56140   0.29908   0.50957   0.65746
   0.24626   0.42838   0.56159   0.25194   0.43711   0.57366
   0.24582   0.42729   0.55984   0.19126   0.33870   0.45333
   0.24625   0.42829   0.56143   0.29960   0.51029   0.65820
   0.24625   0.42828   0.56143   0.24587   0.42728   0.56169
   0.24627   0.42833   0.56153   0.24940   0.43273   0.56784
   0.24668   0.42926   0.56301   0.29670   0.50617   0.65382
   0.24647   0.42878   0.56228   0.22052   0.38848   0.51712
   0.24665   0.42920   0.56296   0.26944   0.46438   0.60566
   0.24601   0.42764   0.56045   0.16522   0.29711   0.40327
   0.24626   0.42823   0.56139   0.27805   0.47743   0.62054
