a b c content serial module panel stage
103 0.93621 -0.05029 0.14846 1 103 35 1 1
128 0.94186 0.16016 0.14885 1 128 35 1 1
250 1.10122 1.56418 0.09575 2 250 35 1 1
299 0.78131 2.07047 0.09394 3 299 35 1 1
90 1.0046 0.1092 0.08802 2 90 36 1 1
91 1.19155 0.11524 0.25589 2 91 36 1 1
124 1.04105 0.08671 0.16097 1 124 36 1 1
127 0.99128 0.15425 0.12452 1 127 36 1 1
138 0.85197 -0.26127 0.15188 3 138 36 1 1
33 1.15438 -0.67169 0.34593 2 33 37 1 1
76 1.10579 0.07243 0.16636 2 76 37 1 1
100 1.05442 -0.50597 0.08432 3 100 37 1 1
126 0.8525 0.11091 0.08883 1 126 37 1 1
242 1.00433 1.29001 0.20413 1 242 37 1 1
10 0.50991 -1.44914 0.14694 2 10 38 1 1
12 0.83806 -1.22873 0.13238 2 12 38 1 1
20 1.1064 -1.3969 0.19598 3 20 38 1 1
24 1.01832 -1.70256 0.32517 1 24 38 1 1
26 0.51357 -1.48062 0.17331 1 26 38 1 1
8 0.59362 -2.06476 0.16105 1 8 39 1 1
13 0.76663 -1.06104 0.1238 2 13 39 1 1
15 0.47563 -0.94598 0.16654 2 15 39 1 1
37 1.18722 -1.31787 0.13321 3 37 39 1 1
42 0.87388 -0.99558 0.22001 1 42 39 1 1
11 0.64116 -1.29142 0.14806 2 11 40 1 1
14 0.69825 -0.98901 0.21158 2 14 40 1 1
19 1.01096 -1.42941 0.18369 3 19 40 1 1
23 0.78774 -1.73743 0.17432 1 23 40 1 1
27 0.73863 -1.25067 0.10454 1 27 40 1 1
