"","a","b","c","content","serial","module","panel","stage"
"45",0.83992,-0.74371,0.11924,1,45,16,1,1
"49",1.09781,-0.25021,0.052,2,49,16,1,1
"53",0.73571,-0.17581,0.06579,2,53,16,1,1
"63",0.90327,-0.54208,0.14408,1,63,16,1,1
"66",0.96256,-0.44516,0.12454,1,66,16,1,1
"81",0.81498,-0.31511,0.15461,1,81,16,1,1
"25",0.34901,-1.56045,0.20501,1,25,17,1,1
"38",0.59685,-1.26581,0.23214,3,38,17,1,1
"41",0.37867,-1.04841,0.20456,1,41,17,1,1
"88",1.00126,-0.10199,0.40648,1,88,17,1,1
"192",0.80912,1.03894,0.29215,2,192,17,1,1
"221",0.74217,1.03455,0.48883,1,221,17,1,1
"233",1.4842,1.48036,0.16499,2,233,17,1,1
"236",1.49179,1.52422,0.18658,2,236,17,1,1
"249",0.81933,1.54567,0.30536,2,249,17,1,1
"300",1.23619,2.08179,0.11321,3,300,17,1,1
"59",0.59006,-1.02769,0.10096,3,59,18,1,1
"149",0.93253,0.68271,0.14128,2,149,18,1,1
"168",1.35539,0.59898,0.27613,1,168,18,1,1
"170",1.00373,0.78973,0.17344,2,170,18,1,1
"181",0.91332,0.6779,0.14975,1,181,18,1,1
"193",0.96237,1.0887,0.2303,2,193,18,1,1
"218",0.90061,0.52271,0.26448,3,218,18,1,1
"242",1.00433,1.29001,0.20413,1,242,18,1,1
"251",1.34538,1.57022,0.15129,2,251,18,1,1
"286",0.70531,2.2619,0.15478,1,286,18,1,1
"73",1.07956,-0.03388,0.33509,2,73,19,1,1
"76",1.10579,0.07243,0.16636,2,76,19,1,1
"92",1.17228,0.13248,0.18882,2,92,19,1,1
"114",1.07636,0.37194,0.02523,2,114,19,1,1
"118",1.07807,-0.44051,0.15996,3,118,19,1,1
"121",1.41811,0.06245,0.14843,1,121,19,1,1
"124",1.04105,0.08671,0.16097,1,124,19,1,1
"125",0.89984,0.10393,0.13245,1,125,19,1,1
"127",0.99128,0.15425,0.12452,1,127,19,1,1
"158",1.20666,-0.03132,0.16188,3,158,19,1,1
"11",0.64116,-1.29142,0.14806,2,11,20,1,1
"12",0.83806,-1.22873,0.13238,2,12,20,1,1
"13",0.76663,-1.06104,0.1238,2,13,20,1,1
"14",0.69825,-0.98901,0.21158,2,14,20,1,1
"20",1.1064,-1.3969,0.19598,3,20,20,1,1
"23",0.78774,-1.73743,0.17432,1,23,20,1,1
"24",1.01832,-1.70256,0.32517,1,24,20,1,1
"27",0.73863,-1.25067,0.10454,1,27,20,1,1
"37",1.18722,-1.31787,0.13321,3,37,20,1,1
"42",0.87388,-0.99558,0.22001,1,42,20,1,1
