a b c content serial module panel stage
270 1.38278 1.96672 0.2976 2 270 2 1 1
271 2.05814 1.99655 0.18825 2 271 2 1 1
272 1.608 2.01146 0.09196 2 272 2 1 1
298 1.14405 1.98778 0.25225 3 298 2 1 1
56 1.17793 -0.1527 0.5 2 56 3 1 1
68 0.74871 -0.3736 0.19772 1 68 3 1 1
95 0.74188 0.23092 0.08413 2 95 3 1 1
125 0.89984 0.10393 0.13245 1 125 3 1 1
128 0.94186 0.16016 0.14885 1 128 3 1 1
131 0.69642 0.50846 0.0993 2 131 3 1 1
132 0.82096 0.51316 0.13109 2 132 3 1 1
134 0.90976 0.55405 0.27422 2 134 3 1 1
146 1.01454 0.33055 0.23742 1 146 3 1 1
147 1.27402 0.34729 0.10004 1 147 3 1 1
151 1.20655 0.70357 0.5 2 151 3 1 1
153 1.16655 0.72347 0.08417 2 153 3 1 1
157 0.75207 -0.03358 0.14237 3 157 3 1 1
158 1.20666 -0.03132 0.16188 3 158 3 1 1
162 1.15175 0.4965 0.09064 1 162 3 1 1
180 0.7895 0.16883 0.04702 3 180 3 1 1
185 0.63595 0.73997 0.31749 1 185 3 1 1
200 1.08426 0.40513 0.12455 3 200 3 1 1
288 0.74207 2.576 0.13225 1 288 3 1 1
289 1.20437 2.24437 0.16068 2 289 3 1 1
82 0.60717 -0.29228 0.18623 1 82 4 1 1
84 0.62832 -0.21445 0.2227 1 84 4 1 1
88 1.00126 -0.10199 0.40648 1 88 4 1 1
91 1.19155 0.11524 0.25589 2 91 4 1 1
93 1.13838 0.20749 0.17817 2 93 4 1 1
94 0.95026 0.22868 0.15552 2 94 4 1 1
102 0.50461 -0.06314 0.10643 1 102 4 1 1
108 0.62533 0.01329 0.5 1 108 4 1 1
111 0.89208 0.32987 0.14618 2 111 4 1 1
133 0.94247 0.52405 0.19019 2 133 4 1 1
136 1.05444 0.60125 0.16527 2 136 4 1 1
149 0.93253 0.68271 0.14128 2 149 4 1 1
159 0.81181 0.02365 0.18466 3 159 4 1 1
169 0.92648 0.77724 0.13964 2 169 4 1 1
178 1.51543 0.12667 0.18331 3 178 4 1 1
179 1.16382 0.1503 0.34191 3 179 4 1 1
182 0.90487 0.68147 0.19902 1 182 4 1 1
197 1.25325 0.23521 0.21215 3 197 4 1 1
246 0.98444 1.37395 0.17914 1 246 4 1 1
266 0.94871 1.6028 0.16098 1 266 4 1 1
17 0.51477 -1.84796 0.13564 3 17 5 1 1
19 1.01096 -1.42941 0.18369 3 19 5 1 1
71 0.85096 -0.09029 0.26784 2 71 5 1 1
112 0.66667 0.35117 0.25579 2 112 5 1 1
166 0.85246 0.55829 0.30867 1 166 5 1 1
168 1.35539 0.59898 0.27613 1 168 5 1 1
184 0.83239 0.70586 0.03472 1 184 5 1 1
191 1.03949 1.03144 0.30238 2 191 5 1 1
201 1.3784 0.8036 0.19098 1 201 5 1 1
205 0.70849 0.91832 0.08652 1 205 5 1 1
211 0.74364 1.28452 0.08485 2 211 5 1 1
214 1.4777 1.34767 0.09881 2 214 5 1 1
218 0.90061 0.52271 0.26448 3 218 5 1 1
229 1.41126 1.3741 0.13428 2 229 5 1 1
239 1.66544 0.7285 0.0981 3 239 5 1 1
242 1.00433 1.29001 0.20413 1 242 5 1 1
245 1.30404 1.37048 0.07061 1 245 5 1 1
247 0.85019 1.38074 0.08722 1 247 5 1 1
251 1.34538 1.57022 0.15129 2 251 5 1 1
290 1.62764 2.26527 0.08149 2 290 5 1 1
75 0.75679 0.06256 0.13823 2 75 6 1 1
80 0.65346 -0.62802 0.17127 3 80 6 1 1
99 0.63901 -0.53989 0.19376 3 99 6 1 1
155 1.18534 0.73779 0.15533 2 155 6 1 1
161 0.80824 0.47071 0.07509 1 161 6 1 1
173 1.4342 0.84885 0.11995 2 173 6 1 1
174 1.54012 0.88356 0.2663 2 174 6 1 1
176 0.53847 0.96234 0.13939 2 176 6 1 1
183 1.17927 0.70579 0.35243 1 183 6 1 1
186 0.85226 0.75467 0.13435 1 186 6 1 1
190 0.8012 1.03055 0.15447 2 190 6 1 1
196 1.43289 1.19057 0.28078 2 196 6 1 1
203 1.10438 0.86576 0.23899 1 203 6 1 1
222 1.22973 1.05722 0.26348 1 222 6 1 1
227 1.23978 1.19639 0.16853 1 227 6 1 1
243 1.09077 1.29115 0.14429 1 243 6 1 1
250 1.10122 1.56418 0.09575 2 250 6 1 1
261 0.93885 1.41013 0.08369 1 261 6 1 1
277 1.09366 1.23839 0.25795 3 277 6 1 1
300 1.23619 2.08179 0.11321 3 300 6 1 1
115 1.11062 0.37674 0.20046 2 115 7 1 1
141 1.01793 0.19273 0.34486 1 141 7 1 1
144 0.52688 0.29777 0.1472 1 144 7 1 1
170 1.00373 0.78973 0.17344 2 170 7 1 1
172 1.00382 0.82144 0.10494 2 172 7 1 1
187 1.05615 0.77543 0.10983 1 187 7 1 1
188 0.94775 0.7774 0.21869 1 188 7 1 1
194 1.10354 1.10563 0.21571 2 194 7 1 1
213 1.02427 1.33306 0.23151 2 213 7 1 1
230 1.3552 1.38621 0.26964 2 230 7 1 1
232 0.92473 1.44495 0.14829 2 232 7 1 1
237 1.07091 0.7 0.16372 3 237 7 1 1
240 1.17548 0.81871 0.07185 3 240 7 1 1
241 0.92247 1.26716 0.10077 1 241 7 1 1
244 1.11079 1.30293 0.24064 1 244 7 1 1
248 1.08781 1.40442 0.28071 1 248 7 1 1
255 1.00627 1.81689 0.18622 2 255 7 1 1
257 1.22339 1.02213 0.10194 3 257 7 1 1
259 0.84825 1.11944 0.16906 3 259 7 1 1
263 1.01546 1.4578 0.08892 1 263 7 1 1
14 0.69825 -0.98901 0.21158 2 14 8 1 1
16 1.05559 -0.90949 0.5 2 16 8 1 1
20 1.1064 -1.3969 0.19598 3 20 8 1 1
24 1.01832 -1.70256 0.32517 1 24 8 1 1
27 0.73863 -1.25067 0.10454 1 27 8 1 1
31 0.80136 -0.76802 0.34693 2 31 8 1 1
33 1.15438 -0.67169 0.34593 2 33 8 1 1
34 1.49252 -0.52602 0.19399 2 34 8 1 1
36 0.70538 -0.29667 0.11547 2 36 8 1 1
37 1.18722 -1.31787 0.13321 3 37 8 1 1
40 0.95676 -1.20698 0.11154 3 40 8 1 1
43 0.94676 -0.93393 0.06713 1 43 8 1 1
45 0.83992 -0.74371 0.11924 1 45 8 1 1
51 0.93593 -0.20202 0.17977 2 51 8 1 1
58 0.91004 -1.12367 0.13877 3 58 8 1 1
64 1.02068 -0.49628 0.25138 1 64 8 1 1
65 1.07983 -0.46626 0.17154 1 65 8 1 1
69 1.23326 -0.10127 0.10312 2 69 8 1 1
121 1.41811 0.06245 0.14843 1 121 8 1 1
127 0.99128 0.15425 0.12452 1 127 8 1 1
29 1.21828 -0.8066 0.21113 2 29 9 1 1
32 1.17266 -0.76548 0.16692 2 32 9 1 1
35 0.76685 -0.3716 0.202 2 35 9 1 1
47 0.78424 -0.69231 0.26217 1 47 9 1 1
49 1.09781 -0.25021 0.052 2 49 9 1 1
52 1.07235 -0.18562 0.08196 2 52 9 1 1
54 1.30463 -0.16596 0.15073 2 54 9 1 1
57 0.91251 -1.19655 0.08727 3 57 9 1 1
61 0.85165 -0.60429 0.33388 1 61 9 1 1
63 0.90327 -0.54208 0.14408 1 63 9 1 1
76 1.10579 0.07243 0.16636 2 76 9 1 1
79 0.85969 -0.68603 0.08217 3 79 9 1 1
87 0.86811 -0.12321 0.18031 1 87 9 1 1
92 1.17228 0.13248 0.18882 2 92 9 1 1
100 1.05442 -0.50597 0.08432 3 100 9 1 1
101 0.83206 -0.07859 0.17202 1 101 9 1 1
104 0.91703 -0.03528 0.17517 1 104 9 1 1
118 1.07807 -0.44051 0.15996 3 118 9 1 1
123 1.12392 0.08478 0.09302 1 123 9 1 1
124 1.04105 0.08671 0.16097 1 124 9 1 1
12 0.83806 -1.22873 0.13238 2 12 10 1 1
13 0.76663 -1.06104 0.1238 2 13 10 1 1
30 0.94372 -0.77609 0.35953 2 30 10 1 1
42 0.87388 -0.99558 0.22001 1 42 10 1 1
53 0.73571 -0.17581 0.06579 2 53 10 1 1
62 0.73199 -0.59644 0.11454 1 62 10 1 1
66 0.96256 -0.44516 0.12454 1 66 10 1 1
70 0.8034 -0.09937 0.0924 2 70 10 1 1
78 1.08948 -0.71943 0.17009 3 78 10 1 1
81 0.81498 -0.31511 0.15461 1 81 10 1 1
85 1.091 -0.19352 0.17694 1 85 10 1 1
89 1.21852 0.10318 0.05654 2 89 10 1 1
90 1.0046 0.1092 0.08802 2 90 10 1 1
97 1.04963 -0.60418 0.09479 3 97 10 1 1
103 0.93621 -0.05029 0.14846 1 103 10 1 1
106 0.9491 -0.01374 0.06349 1 106 10 1 1
114 1.07636 0.37194 0.02523 2 114 10 1 1
117 1.35127 -0.47087 0.09622 3 117 10 1 1
120 0.97426 -0.40939 0.05283 3 120 10 1 1
126 0.8525 0.11091 0.08883 1 126 10 1 1
