a b c content serial module panel stage
37 1.18722 -1.31787 0.13321 3 37 19 1 1
45 0.83992 -0.74371 0.11924 1 45 19 1 1
47 0.78424 -0.69231 0.26217 1 47 19 1 1
53 0.73571 -0.17581 0.06579 2 53 19 1 1
64 1.02068 -0.49628 0.25138 1 64 19 1 1
70 0.8034 -0.09937 0.0924 2 70 19 1 1
120 0.97426 -0.40939 0.05283 3 120 19 1 1
126 0.8525 0.11091 0.08883 1 126 19 1 1
12 0.83806 -1.22873 0.13238 2 12 20 1 1
13 0.76663 -1.06104 0.1238 2 13 20 1 1
27 0.73863 -1.25067 0.10454 1 27 20 1 1
35 0.76685 -0.3716 0.202 2 35 20 1 1
42 0.87388 -0.99558 0.22001 1 42 20 1 1
62 0.73199 -0.59644 0.11454 1 62 20 1 1
76 1.10579 0.07243 0.16636 2 76 20 1 1
78 1.08948 -0.71943 0.17009 3 78 20 1 1
81 0.81498 -0.31511 0.15461 1 81 20 1 1
117 1.35127 -0.47087 0.09622 3 117 20 1 1
