   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.27271   0.47003   0.61156   0.29790   0.50793   0.65576
   0.27258   0.46971   0.61104   0.25669   0.44391   0.58089
   0.27281   0.47021   0.61183   0.29969   0.51044   0.65838
   0.27302   0.47069   0.61257   0.29844   0.50869   0.65654
   0.27256   0.46957   0.61075   0.21756   0.37988   0.50184
   0.27199   0.46819   0.60854   0.20278   0.35731   0.47588
   0.27221   0.46870   0.60934   0.29918   0.50971   0.65761
   0.27242   0.46917   0.61009   0.29765   0.50756   0.65534
   0.27247   0.46931   0.61033   0.27917   0.48033   0.62525
   0.27269   0.46980   0.61110   0.29960   0.51029   0.65820
   0.27290   0.47027   0.61183   0.29839   0.50859   0.65641
   0.27288   0.47024   0.61181   0.27118   0.46771   0.61026
   0.27310   0.47072   0.61255   0.30000   0.51084   0.65877
   0.27330   0.47118   0.61326   0.29880   0.50916   0.65701
   0.27329   0.47114   0.61321   0.27143   0.46795   0.61037
   0.27201   0.46796   0.60789   0.11107   0.20125   0.27525
   0.27221   0.46841   0.60861   0.29685   0.50629   0.65384
   0.27241   0.46887   0.60935   0.29804   0.50807   0.65585
   0.27247   0.46903   0.60963   0.28096   0.48272   0.62758
   0.27267   0.46948   0.61034   0.29786   0.50772   0.65536
   0.27286   0.46992   0.61103   0.29719   0.50685   0.65452
   0.27296   0.47015   0.61141   0.28571   0.49009   0.63618
   0.27317   0.47062   0.61214   0.30000   0.51081   0.65871
   0.27336   0.47106   0.61282   0.29885   0.50920   0.65701
   0.27323   0.47072   0.61227   0.25534   0.44100   0.57641
   0.27236   0.46860   0.60880   0.15913   0.28420   0.38339
   0.27256   0.46906   0.60954   0.29924   0.50974   0.65756
   0.27276   0.46950   0.61023   0.29792   0.50788   0.65561
   0.27201   0.46768   0.60724   0.17368   0.30723   0.41097
   0.27222   0.46815   0.60799   0.29916   0.50961   0.65742
   0.27241   0.46859   0.60871   0.29813   0.50817   0.65590
   0.27243   0.46866   0.60883   0.27584   0.47440   0.61743
   0.27263   0.46911   0.60956   0.29935   0.50986   0.65766
   0.27283   0.46956   0.61025   0.29889   0.50923   0.65700
   0.27251   0.46880   0.60906   0.23006   0.40097   0.52871
   0.27222   0.46809   0.60793   0.23196   0.40384   0.53180
   0.27241   0.46854   0.60865   0.29927   0.50975   0.65754
   0.27248   0.46869   0.60889   0.28145   0.48200   0.62499
   0.27260   0.46898   0.60936   0.28922   0.49522   0.64181
   0.27279   0.46942   0.61007   0.29964   0.51025   0.65807
   0.27298   0.46985   0.61073   0.29856   0.50874   0.65647
   0.27296   0.46980   0.61068   0.27025   0.46578   0.60739
   0.27315   0.47024   0.61136   0.30000   0.51075   0.65858
   0.27333   0.47065   0.61201   0.29875   0.50900   0.65674
   0.27332   0.47062   0.61195   0.27190   0.46744   0.60820
   0.27277   0.46928   0.60981   0.19488   0.34436   0.45984
   0.27296   0.46971   0.61048   0.29930   0.50975   0.65752
   0.27313   0.47011   0.61112   0.29816   0.50815   0.65584
   0.27313   0.47012   0.61114   0.27299   0.47034   0.61315
   0.27332   0.47053   0.61180   0.29965   0.51025   0.65803
   0.27345   0.47084   0.61228   0.29262   0.50002   0.64689
   0.27351   0.47097   0.61250   0.28175   0.48364   0.62833
   0.27369   0.47138   0.61314   0.30000   0.51073   0.65853
   0.27386   0.47177   0.61374   0.29897   0.50928   0.65700
   0.27356   0.47104   0.61257   0.22997   0.40066   0.52815
   0.27283   0.46925   0.60964   0.16587   0.29547   0.39768
   0.27301   0.46966   0.61029   0.29932   0.50976   0.65751
   0.27315   0.46998   0.61081   0.29347   0.50128   0.64827
   0.27321   0.47013   0.61105   0.28218   0.48425   0.62899
   0.27339   0.47053   0.61168   0.29958   0.51012   0.65787
   0.27355   0.47092   0.61228   0.29866   0.50882   0.65651
   0.27350   0.47076   0.61204   0.26463   0.45573   0.59402
   0.27367   0.47116   0.61265   0.30000   0.51070   0.65848
   0.27384   0.47154   0.61324   0.29900   0.50930   0.65700
   0.27384   0.47153   0.61322   0.27334   0.47016   0.61204
