   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.39285   0.59974   0.71576   0.42326   0.64277   0.76716
   0.39276   0.59957   0.71568   0.38418   0.58939   0.71210
   0.39244   0.59906   0.71520   0.36243   0.56692   0.69259
   0.39355   0.60117   0.71805   0.49895   0.73361   0.85126
   0.39458   0.60310   0.72063   0.49215   0.72438   0.84194
   0.39389   0.60181   0.71903   0.32747   0.52008   0.64374
   0.39479   0.60345   0.72119   0.48122   0.70809   0.82357
   0.39578   0.60526   0.72353   0.49201   0.72087   0.83516
   0.39582   0.60533   0.72372   0.39936   0.61007   0.73321
   0.39511   0.60402   0.72211   0.32602   0.51927   0.64414
   0.39542   0.60463   0.72299   0.42563   0.64401   0.76597
   0.39634   0.60627   0.72509   0.48687   0.71359   0.82708
   0.39428   0.60180   0.71841   0.19008   0.30859   0.39153
   0.39529   0.60369   0.72093   0.49637   0.72844   0.84475
   0.39591   0.60484   0.72251   0.45796   0.68120   0.80070
   0.39443   0.60181   0.71824   0.24530   0.39935   0.50590
   0.39526   0.60330   0.72017   0.47943   0.70335   0.81650
   0.39252   0.59711   0.71058   0.11397   0.18043   0.22866
   0.39355   0.59906   0.71323   0.49854   0.73092   0.84700
   0.39451   0.60086   0.71566   0.49320   0.72349   0.83933
   0.39469   0.60125   0.71634   0.41329   0.62774   0.75088
   0.39405   0.60010   0.71496   0.32764   0.52083   0.64415
   0.39475   0.60146   0.71688   0.46746   0.69563   0.81587
   0.39496   0.60190   0.71760   0.41714   0.63229   0.75474
   0.39546   0.60287   0.71898   0.44799   0.67066   0.79092
   0.39652   0.60485   0.72161   0.50837   0.74309   0.85880
   0.39524   0.60228   0.71807   0.25951   0.42183   0.53243
   0.39635   0.60436   0.72084   0.51495   0.75144   0.86677
   0.39664   0.60494   0.72174   0.42721   0.64607   0.76951
   0.39750   0.60650   0.72376   0.48958   0.71727   0.83150
   0.39832   0.60794   0.72559   0.48744   0.71161   0.82322
   0.39913   0.60938   0.72743   0.48727   0.71292   0.82627
   0.39872   0.60857   0.72638   0.35365   0.54980   0.66961
