   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.79661   0.89105   0.92595   0.81657   0.90894   0.94057
   0.79678   0.89135   0.92639   0.81098   0.90826   0.94507
   0.79734   0.89219   0.92735   0.84655   0.94082   0.96864
   0.79785   0.89294   0.92820   0.84157   0.93566   0.96467
   0.79820   0.89347   0.92885   0.82926   0.92438   0.95689
   0.79850   0.89395   0.92948   0.82472   0.92231   0.95709
   0.79740   0.89230   0.92742   0.70042   0.79493   0.83730
   0.79777   0.89287   0.92814   0.83073   0.92700   0.95991
   0.79820   0.89348   0.92882   0.83639   0.92924   0.95878
   0.79836   0.89374   0.92919   0.81257   0.90924   0.94575
   0.79885   0.89448   0.93008   0.84299   0.93911   0.96969
   0.79917   0.89498   0.93071   0.82896   0.92534   0.95914
   0.79953   0.89550   0.93133   0.83179   0.92680   0.95929
   0.79926   0.89508   0.93090   0.77432   0.86979   0.91124
   0.79970   0.89574   0.93167   0.84032   0.93608   0.96713
   0.79762   0.89254   0.92769   0.60428   0.69486   0.74458
   0.79814   0.89331   0.92857   0.84747   0.94155   0.96923
   0.79810   0.89323   0.92852   0.79352   0.88794   0.92636
   0.79843   0.89364   0.92891   0.83013   0.91926   0.94674
   0.79900   0.89450   0.92991   0.85288   0.94876   0.97709
   0.79922   0.89475   0.93014   0.82005   0.91055   0.94116
   0.79703   0.89146   0.92613   0.58744   0.68225   0.73544
   0.79745   0.89209   0.92686   0.83776   0.93194   0.96178
   0.79788   0.89276   0.92769   0.83936   0.93635   0.96751
   0.79792   0.89281   0.92776   0.80191   0.89578   0.93098
   0.79827   0.89337   0.92846   0.83287   0.92983   0.96258
   0.79837   0.89348   0.92862   0.80770   0.90096   0.93624
   0.79873   0.89405   0.92932   0.83467   0.93120   0.96364
   0.79886   0.89429   0.92968   0.81150   0.91022   0.94756
   0.79908   0.89463   0.93011   0.82139   0.91693   0.95128
   0.79889   0.89434   0.92982   0.78020   0.87483   0.91562
   0.79929   0.89488   0.93041   0.83978   0.93159   0.95995
   0.79980   0.89561   0.93121   0.85074   0.94425   0.97136
   0.79991   0.89575   0.93140   0.81122   0.90532   0.94099
   0.80014   0.89610   0.93186   0.82403   0.92035   0.95526
   0.80049   0.89664   0.93251   0.83696   0.93331   0.96551
   0.80034   0.89637   0.93218   0.78462   0.87779   0.91539
   0.80088   0.89717   0.93310   0.85718   0.95271   0.98036
   0.79993   0.89573   0.93133   0.69976   0.79572   0.84003
   0.80027   0.89624   0.93195   0.83661   0.93189   0.96381
   0.80073   0.89689   0.93265   0.84929   0.94218   0.96950
   0.80126   0.89768   0.93355   0.85763   0.95302   0.98050
   0.80116   0.89753   0.93342   0.79007   0.88719   0.92653
   0.80067   0.89680   0.93260   0.74860   0.84489   0.88944
   0.80054   0.89656   0.93232   0.78634   0.87968   0.91721
   0.80105   0.89732   0.93319   0.85576   0.95150   0.97956
   0.80054   0.89651   0.93218   0.74518   0.83794   0.87806
   0.80045   0.89634   0.93200   0.79110   0.88432   0.92242
   0.80078   0.89678   0.93248   0.83716   0.92907   0.95859
   0.80067   0.89657   0.93223   0.78790   0.88112   0.91849
