   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.23031   0.40896   0.54536   0.24488   0.43089   0.57191
   0.23010   0.40841   0.54447   0.21243   0.37828   0.50785
   0.23033   0.40895   0.54533   0.25000   0.43862   0.58066
   0.23054   0.40943   0.54610   0.24852   0.43639   0.57814
   0.23061   0.40956   0.54627   0.23632   0.41643   0.55349
   0.23037   0.40893   0.54523   0.20950   0.37339   0.50172
   0.23059   0.40944   0.54605   0.25000   0.43860   0.58060
   0.23080   0.40991   0.54679   0.24855   0.43642   0.57814
   0.23059   0.40933   0.54579   0.21250   0.37639   0.50290
   0.23054   0.40919   0.54555   0.22643   0.40100   0.53555
   0.23075   0.40965   0.54628   0.24844   0.43613   0.57767
   0.23095   0.41010   0.54700   0.24859   0.43644   0.57814
   0.23112   0.41050   0.54763   0.24691   0.43390   0.57527
   0.23050   0.40887   0.54486   0.17458   0.31306   0.42329
   0.23071   0.40936   0.54565   0.25000   0.43855   0.58049
   0.23089   0.40976   0.54628   0.24655   0.43324   0.57438
   0.23084   0.40961   0.54602   0.22651   0.40059   0.53442
   0.23065   0.40911   0.54519   0.21325   0.37896   0.50787
   0.23086   0.40958   0.54596   0.25000   0.43852   0.58044
   0.23105   0.41002   0.54665   0.24865   0.43649   0.57813
   0.23121   0.41039   0.54725   0.24664   0.43344   0.57468
   0.23064   0.40890   0.54472   0.17687   0.31697   0.42830
   0.23084   0.40937   0.54547   0.25000   0.43850   0.58039
   0.23103   0.40980   0.54616   0.24868   0.43651   0.57813
   0.23114   0.41005   0.54656   0.24158   0.42545   0.56522
   0.23044   0.40827   0.54356   0.16427   0.29631   0.40286
   0.23065   0.40874   0.54433   0.25000   0.43848   0.58034
   0.23083   0.40917   0.54502   0.24870   0.43653   0.57813
   0.23099   0.40954   0.54563   0.24665   0.43342   0.57462
   0.23032   0.40784   0.54276   0.16538   0.29812   0.40502
   0.23051   0.40827   0.54347   0.24860   0.43627   0.57774
   0.23069   0.40870   0.54417   0.24873   0.43655   0.57813
   0.23079   0.40892   0.54454   0.24028   0.42323   0.56240
   0.23070   0.40869   0.54419   0.22186   0.39388   0.52731
   0.23089   0.40913   0.54491   0.24987   0.43825   0.58004
   0.23107   0.40954   0.54556   0.24876   0.43657   0.57813
   0.23113   0.40968   0.54580   0.23775   0.41924   0.55769
   0.23095   0.40921   0.54502   0.21232   0.37739   0.50592
   0.23114   0.40964   0.54571   0.25000   0.43842   0.58021
   0.23127   0.40995   0.54621   0.24512   0.43084   0.57137
   0.23137   0.41016   0.54656   0.24114   0.42469   0.56426
   0.23118   0.40969   0.54578   0.21232   0.37746   0.50608
   0.23135   0.41007   0.54638   0.24856   0.43616   0.57754
   0.23144   0.41025   0.54666   0.24079   0.42311   0.56099
   0.23149   0.41035   0.54681   0.23643   0.41682   0.55438
   0.23138   0.41006   0.54633   0.21979   0.38986   0.52159
   0.23155   0.41046   0.54697   0.25000   0.43839   0.58013
   0.23171   0.41082   0.54755   0.24883   0.43662   0.57813
   0.23186   0.41115   0.54807   0.24731   0.43433   0.57555
   0.23152   0.41030   0.54667   0.19535   0.34977   0.47213
   0.23169   0.41069   0.54728   0.25000   0.43837   0.58009
   0.23184   0.41102   0.54781   0.24770   0.43487   0.57610
   0.23198   0.41135   0.54833   0.24771   0.43491   0.57618
   0.23157   0.41030   0.54658   0.18676   0.33458   0.45198
   0.23174   0.41068   0.54718   0.25000   0.43836   0.58006
   0.23189   0.41103   0.54774   0.24887   0.43665   0.57813
   0.23191   0.41106   0.54778   0.23412   0.41311   0.54990
   0.23167   0.41044   0.54675   0.20471   0.36468   0.48991
   0.23182   0.41079   0.54730   0.24877   0.43644   0.57781
   0.23197   0.41113   0.54784   0.24889   0.43667   0.57813
   0.23200   0.41117   0.54791   0.23485   0.41433   0.55146
   0.23182   0.41070   0.54712   0.21134   0.37542   0.50299
   0.23196   0.41104   0.54766   0.24879   0.43646   0.57781
   0.23211   0.41137   0.54819   0.24891   0.43668   0.57813
   0.23225   0.41168   0.54867   0.24783   0.43505   0.57629
   0.23169   0.41026   0.54629   0.16753   0.30205   0.41049
   0.23184   0.41060   0.54683   0.24860   0.43617   0.57749
   0.23191   0.41076   0.54709   0.24088   0.42366   0.56226
   0.23158   0.40990   0.54562   0.19327   0.34351   0.46065
   0.23169   0.41015   0.54602   0.24415   0.42934   0.56964
   0.23184   0.41051   0.54660   0.25000   0.43830   0.57992
   0.23199   0.41084   0.54713   0.24895   0.43671   0.57813
   0.23206   0.41099   0.54737   0.24044   0.42305   0.56165
   0.23175   0.41020   0.54605   0.19435   0.34729   0.46797
   0.23190   0.41055   0.54661   0.25000   0.43828   0.57989
   0.23204   0.41087   0.54713   0.24886   0.43657   0.57795
   0.23209   0.41097   0.54728   0.23822   0.41903   0.55614
   0.23190   0.41049   0.54650   0.20885   0.37201   0.49972
   0.23204   0.41083   0.54704   0.25000   0.43827   0.57986
   0.23218   0.41115   0.54755   0.24898   0.43673   0.57813
   0.23231   0.41143   0.54800   0.24756   0.43459   0.57571
   0.23201   0.41068   0.54677   0.19555   0.34968   0.47152
   0.23216   0.41102   0.54730   0.25000   0.43826   0.57984
   0.23229   0.41132   0.54779   0.24900   0.43675   0.57813
   0.23241   0.41161   0.54824   0.24770   0.43479   0.57592
   0.23201   0.41060   0.54657   0.18207   0.32717   0.44323
   0.23216   0.41093   0.54710   0.25000   0.43825   0.57981
   0.23229   0.41123   0.54759   0.24901   0.43676   0.57813
   0.23239   0.41146   0.54795   0.24478   0.43021   0.57052
   0.23220   0.41098   0.54717   0.20804   0.37062   0.49791
   0.23233   0.41130   0.54767   0.25000   0.43824   0.57978
   0.23242   0.41148   0.54795   0.24290   0.42675   0.56580
   0.23254   0.41175   0.54840   0.24806   0.43532   0.57649
   0.23219   0.41087   0.54692   0.18687   0.33499   0.45279
   0.23225   0.41100   0.54714   0.24077   0.42295   0.56075
   0.23238   0.41130   0.54761   0.24904   0.43678   0.57813
   0.23185   0.40993   0.54523   0.16336   0.29108   0.39134
   0.23192   0.41009   0.54551   0.24097   0.42416   0.56333
   0.23205   0.41039   0.54600   0.24915   0.43690   0.57823
   0.23218   0.41069   0.54648   0.24906   0.43679   0.57813
   0.23230   0.41096   0.54692   0.24774   0.43481   0.57589
   0.23211   0.41049   0.54616   0.20646   0.36839   0.49564
   0.23224   0.41080   0.54666   0.25000   0.43820   0.57971
   0.23236   0.41108   0.54712   0.24907   0.43680   0.57813
   0.23248   0.41135   0.54756   0.24806   0.43527   0.57640
   0.23211   0.41042   0.54599   0.18220   0.32647   0.44112
   0.23217   0.41056   0.54621   0.24099   0.42332   0.56121
   0.23229   0.41083   0.54666   0.24826   0.43555   0.57667
   0.23238   0.41102   0.54697   0.24389   0.42854   0.56824
   0.23219   0.41056   0.54621   0.20700   0.36824   0.49412
   0.23232   0.41086   0.54669   0.25000   0.43818   0.57966
   0.23244   0.41114   0.54714   0.24910   0.43682   0.57813
   0.23254   0.41136   0.54750   0.24586   0.43177   0.57219
   0.23215   0.41038   0.54586   0.17858   0.32003   0.43250
   0.23225   0.41061   0.54622   0.24589   0.43133   0.57106
   0.23234   0.41081   0.54655   0.24511   0.43017   0.56979
   0.23240   0.41095   0.54677   0.24069   0.42332   0.56183
   0.23223   0.41053   0.54609   0.20866   0.37154   0.49894
   0.23234   0.41078   0.54649   0.24727   0.43391   0.57465
   0.23245   0.41104   0.54692   0.24833   0.43563   0.57673
   0.23256   0.41129   0.54733   0.24816   0.43540   0.57650
   0.23227   0.41057   0.54615   0.19120   0.34241   0.46236
   0.23240   0.41086   0.54661   0.25000   0.43815   0.57960
   0.23251   0.41113   0.54705   0.24905   0.43672   0.57798
   0.23232   0.41063   0.54621   0.20474   0.36313   0.48600
   0.23211   0.41011   0.54534   0.20223   0.35990   0.48317
   0.23224   0.41040   0.54581   0.25000   0.43814   0.57958
   0.23235   0.41067   0.54625   0.24915   0.43686   0.57813
   0.23239   0.41076   0.54640   0.23852   0.41982   0.55761
   0.23214   0.41014   0.54538   0.19508   0.34894   0.47064
   0.23225   0.41040   0.54581   0.24856   0.43590   0.57694
   0.23236   0.41066   0.54624   0.24899   0.43661   0.57784
   0.23219   0.41021   0.54547   0.20629   0.36577   0.48939
   0.23208   0.40995   0.54506   0.21630   0.38392   0.51403
