delta change = 
         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40
     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20     27.20
     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05     28.05
     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90     28.90
     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75     29.75
     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60     30.60
     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45     31.45
     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30     32.30
     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15     33.15
     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00     34.00
     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85     34.85
