   ID       GA1       GA2       GA3
  470    0.8051    0.8963    0.9283
  471    0.8053    0.8966    0.9287
  472    0.8054    0.8968    0.9290
  473    0.8052    0.8965    0.9286
  474    0.8054    0.8968    0.9290
  475    0.8055    0.8970    0.9292
  476    0.8051    0.8962    0.9283
  477    0.8052    0.8965    0.9286
  478    0.8053    0.8967    0.9289
  479    0.8051    0.8964    0.9285
  480    0.8051    0.8964    0.9285
  481    0.8054    0.8967    0.9290
  482    0.8050    0.8962    0.9284
  483    0.8052    0.8965    0.9287
  484    0.8045    0.8954    0.9274
  485    0.8043    0.8951    0.9271
  486    0.8043    0.8952    0.9272
  487    0.8044    0.8953    0.9274
  488    0.8046    0.8956    0.9277
  489    0.8047    0.8958    0.9280
  490    0.8045    0.8955    0.9276
  491    0.8047    0.8958    0.9280
  492    0.8049    0.8960    0.9283
  493    0.8048    0.8959    0.9281
  494    0.8049    0.8960    0.9283
  495    0.8045    0.8954    0.9274
  496    0.8047    0.8956    0.9277
  497    0.8049    0.8959    0.9280
  498    0.8050    0.8961    0.9283
  499    0.8051    0.8963    0.9286
  500    0.8053    0.8966    0.9289
  501    0.8054    0.8967    0.9291
  502    0.8052    0.8964    0.9288
  503    0.8054    0.8967    0.9291
  504    0.8049    0.8960    0.9283
  505    0.8051    0.8962    0.9285
  506    0.8051    0.8963    0.9287
  507    0.8051    0.8963    0.9287
  508    0.8049    0.8959    0.9283
  509    0.8049    0.8960    0.9283
  510    0.8049    0.8959    0.9283
  511    0.8051    0.8962    0.9286
  512    0.8046    0.8954    0.9276
  513    0.8043    0.8950    0.9271
  514    0.8044    0.8951    0.9272
  515    0.8038    0.8942    0.9262
  516    0.8039    0.8944    0.9265
  517    0.8039    0.8945    0.9266
  518    0.8042    0.8948    0.9270
  519    0.8043    0.8951    0.9273
  520    0.8044    0.8952    0.9275
  521    0.8046    0.8955    0.9278
  522    0.8047    0.8958    0.9281
  523    0.8049    0.8960    0.9284
  524    0.8049    0.8960    0.9285
  525    0.8049    0.8959    0.9284
  526    0.8049    0.8960    0.9286
  527    0.8050    0.8962    0.9288
  528    0.8052    0.8965    0.9291
  529    0.8053    0.8967    0.9294
  530    0.8054    0.8968    0.9296
  531    0.8048    0.8960    0.9285
  532    0.8047    0.8958    0.9284
  533    0.8049    0.8961    0.9287
  534    0.8051    0.8964    0.9290
  535    0.8053    0.8966    0.9293
  536    0.8054    0.8969    0.9296
  537    0.8055    0.8970    0.9298
  538    0.8057    0.8973    0.9302
  539    0.8058    0.8974    0.9303
  540    0.8059    0.8976    0.9306
  541    0.8056    0.8971    0.9300
  542    0.8057    0.8973    0.9302
  543    0.8059    0.8976    0.9305
  544    0.8055    0.8970    0.9298
  545    0.8053    0.8967    0.9295
  546    0.8054    0.8969    0.9298
  547    0.8053    0.8967    0.9296
  548    0.8055    0.8970    0.9299
  549    0.8052    0.8965    0.9293
  550    0.8049    0.8961    0.9289
  551    0.8051    0.8965    0.9293
  552    0.8045    0.8955    0.9282
  553    0.8047    0.8958    0.9285
  554    0.8042    0.8951    0.9277
  555    0.8044    0.8954    0.9280
  556    0.8044    0.8954    0.9281
  557    0.8045    0.8957    0.9284
  558    0.8047    0.8959    0.9287
  559    0.8048    0.8961    0.9290
  560    0.8050    0.8964    0.9293
  561    0.8048    0.8960    0.9289
  562    0.8048    0.8961    0.9290
  563    0.8046    0.8958    0.9287
  564    0.8048    0.8960    0.9290
  565    0.8049    0.8963    0.9292
  566    0.8045    0.8957    0.9286
  567    0.8046    0.8958    0.9287
  568    0.8047    0.8959    0.9288
  569    0.8042    0.8952    0.9279
  570    0.8043    0.8954    0.9282
  571    0.8044    0.8954    0.9283
  572    0.8045    0.8957    0.9285
  573    0.8046    0.8958    0.9287
  574    0.8047    0.8960    0.9290
  575    0.8048    0.8961    0.9290
  576    0.8047    0.8959    0.9288
  577    0.8047    0.8960    0.9290
  578    0.8047    0.8959    0.9289
  579    0.8049    0.8962    0.9292
  580    0.8050    0.8963    0.9294
  581    0.8048    0.8960    0.9291
  582    0.8049    0.8963    0.9293
  583    0.8049    0.8962    0.9292
  584    0.8050    0.8963    0.9294
  585    0.8043    0.8952    0.9281
  586    0.8043    0.8954    0.9282
  587    0.8040    0.8949    0.9276
  588    0.8041    0.8951    0.9279
  589    0.8039    0.8947    0.9275
  590    0.8040    0.8949    0.9278
  591    0.8040    0.8949    0.9277
  592    0.8038    0.8946    0.9274
  593    0.8039    0.8948    0.9277
  594    0.8040    0.8949    0.9278
  595    0.8041    0.8951    0.9281
  596    0.8042    0.8952    0.9282
  597    0.8044    0.8955    0.9286
  598    0.8041    0.8952    0.9281
  599    0.8043    0.8954    0.9284
  600    0.8045    0.8957    0.9287
  601    0.8044    0.8955    0.9286
  602    0.8045    0.8957    0.9288
  603    0.8047    0.8960    0.9291
  604    0.8045    0.8957    0.9288
  605    0.8046    0.8959    0.9291
  606    0.8047    0.8961    0.9293
  607    0.8045    0.8958    0.9290
  608    0.8046    0.8959    0.9291
  609    0.8047    0.8960    0.9293
  610    0.8044    0.8957    0.9290
  611    0.8039    0.8949    0.9280
  612    0.8039    0.8950    0.9281
  613    0.8038    0.8948    0.9279
  614    0.8040    0.8951    0.9282
  615    0.8041    0.8953    0.9285
  616    0.8043    0.8955    0.9288
  617    0.8044    0.8958    0.9290
  618    0.8045    0.8959    0.9292
  619    0.8047    0.8961    0.9294
  620    0.8046    0.8960    0.9293
  621    0.8046    0.8961    0.9294
  622    0.8048    0.8963    0.9297
  623    0.8045    0.8958    0.9291
  624    0.8046    0.8961    0.9294
  625    0.8045    0.8959    0.9293
  626    0.8044    0.8958    0.9291
  627    0.8046    0.8961    0.9295
  628    0.8047    0.8963    0.9297
  629    0.8049    0.8965    0.9300
  630    0.8049    0.8966    0.9301
  631    0.8048    0.8963    0.9298
  632    0.8046    0.8961    0.9295
  633    0.8043    0.8956    0.9289
  634    0.8043    0.8956    0.9289
  635    0.8044    0.8958    0.9291
  636    0.8046    0.8960    0.9295
  637    0.8047    0.8962    0.9297
  638    0.8048    0.8964    0.9300
  639    0.8050    0.8967    0.9302
  640    0.8051    0.8968    0.9304
  641    0.8052    0.8970    0.9306
  642    0.8054    0.8972    0.9308
  643    0.8048    0.8964    0.9298
  644    0.8050    0.8966    0.9301
  645    0.8051    0.8969    0.9304
  646    0.8051    0.8968    0.9304
  647    0.8049    0.8965    0.9300
  648    0.8050    0.8968    0.9303
  649    0.8052    0.8970    0.9305
  650    0.8049    0.8966    0.9301
  651    0.8047    0.8963    0.9297
  652    0.8049    0.8965    0.9300
  653    0.8048    0.8965    0.9300
  654    0.8050    0.8967    0.9302
  655    0.8051    0.8969    0.9305
  656    0.8047    0.8962    0.9297
  657    0.8048    0.8965    0.9300
  658    0.8047    0.8962    0.9297
  659    0.8048    0.8965    0.9300
  660    0.8050    0.8967    0.9302
  661    0.8050    0.8967    0.9302
  662    0.8048    0.8964    0.9299
  663    0.8046    0.8961    0.9295
  664    0.8043    0.8957    0.9291
  665    0.8040    0.8952    0.9285
  666    0.8040    0.8953    0.9286
  667    0.8041    0.8955    0.9289
  668    0.8043    0.8956    0.9290
  669    0.8044    0.8958    0.9292
  670    0.8045    0.8959    0.9294
  671    0.8046    0.8962    0.9297
  672    0.8045    0.8960    0.9294
  673    0.8046    0.8962    0.9297
  674    0.8043    0.8957    0.9291
  675    0.8043    0.8957    0.9291
  676    0.8041    0.8953    0.9287
  677    0.8039    0.8951    0.9284
  678    0.8039    0.8951    0.9284
  679    0.8038    0.8950    0.9283
  680    0.8040    0.8952    0.9286
  681    0.8039    0.8951    0.9285
  682    0.8038    0.8950    0.9284
  683    0.8039    0.8952    0.9286
  684    0.8041    0.8954    0.9289
  685    0.8043    0.8957    0.9292
  686    0.8039    0.8951    0.9285
  687    0.8041    0.8954    0.9288
  688    0.8042    0.8957    0.9291
  689    0.8040    0.8952    0.9286
  690    0.8041    0.8955    0.9289
  691    0.8038    0.8951    0.9284
  692    0.8038    0.8950    0.9284
  693    0.8039    0.8952    0.9286
  694    0.8036    0.8948    0.9281
  695    0.8034    0.8944    0.9277
  696    0.8033    0.8943    0.9276
  697    0.8029    0.8937    0.9268
