   ID      true         1         2
  595    1.0000    0.6549    0.7332
  596    1.0000    1.3956    1.3658
  597    1.0000    1.0210    1.2332
  598    1.0000    1.0466    1.0046
  599    1.0000    0.6512    0.8641
  600    1.0000    0.8452    1.2161
  601    1.0000    0.8611    0.8346
  602    1.0000    1.0329    1.1260
  603    1.0000    0.8249    1.1233
  604    1.0000    0.9606    0.9944
  605    1.0000    0.7418    1.0200
  606    1.0000    0.8669    0.9989
  607    1.0000    0.7861    1.0901
  608    1.0000    0.6384    0.7255
  609    1.0000    1.4187    1.2128
  610    1.0000    0.6846    1.1480
  611    1.0000    1.0589    1.2138
  612    1.0000    0.7530    0.7997
  613    1.0000    1.6110    1.4232
  614    1.0000    0.9252    0.9791
  615    1.0000    0.9561    0.8307
  616    1.0000    0.8874    0.8845
  617    1.0000    0.7654    0.7843
  618    1.0000    1.5187    1.0604
  619    1.0000    0.7192    0.7632
  620    1.0000    1.4024    1.1016
  621    1.0000    0.4167    0.7048
  622    1.0000    1.3460    1.2560
  623    1.0000    0.1379    0.7117
  624    1.0000    0.5157    0.6879
  625    1.0000    1.3153    1.0211
  626    1.0000    0.8735    1.1087
  627    1.0000    1.3316    1.1185
  628    1.0000    1.0096    1.1494
  629    1.0000    0.8034    0.6960
  630    1.0000    0.8404    1.1835
  631    1.0000    1.6270    0.8766
  632    1.0000    1.0697    0.8168
  633    1.0000    0.7422    0.8075
  634    1.0000    1.1007    0.9865
  635    1.0000    1.1479    1.2437
  636    1.0000    0.5679    1.0118
  637    1.0000    1.1292    1.2335
  638    1.0000    1.1343    0.7589
  639    1.0000    0.6069    0.9446
  640    1.0000    0.9493    1.1157
  641    1.0000    1.1034    1.0232
  642    1.0000    0.9395    0.9307
  643    1.0000    0.1305    0.5643
  644    1.0000    0.2851    0.6380
  645    1.0000    1.1340    1.0833
  646    1.0000    1.0241    1.3105
  647    1.0000    0.6807    1.0043
  648    1.0000    0.7404    1.0276
  649    1.0000    0.6495    0.5954
  650    1.0000    0.5361    0.6319
  651    1.0000    1.6270    1.2639
  652    1.0000    1.3468    1.2122
  653    1.0000    0.4665    0.6620
  654    1.0000    1.3097    1.1436
  655    1.0000    0.7737    0.8445
  656    1.0000    0.9054    0.8978
  657    1.0000    1.0037    0.8705
  658    1.0000    0.6244    0.7953
  659    1.0000    1.3132    1.2387
  660    1.0000    0.8121    0.9816
  661    1.0000    1.5632    1.3541
  662    1.0000    0.7183    0.6892
  663    1.0000    0.6824    0.9410
  664    1.0000    0.7642    1.2577
  665    1.0000    1.2882    0.9328
  666    1.0000    0.8020    0.6611
  667    1.0000    0.9492    0.9574
  668    1.0000    1.4187    1.1904
  669    1.0000    0.6377    0.9561
  670    1.0000    0.7407    0.9296
  671    1.0000    0.3941    0.6411
  672    1.0000    1.2351    1.1670
  673    1.0000    0.9851    0.8599
  674    1.0000    1.3466    1.2308
  675    1.0000    0.3869    0.7501
  676    1.0000    0.7711    0.9593
  677    1.0000    1.3548    1.0774
  678    1.0000    0.9213    0.5935
  679    1.0000    1.1483    1.2330
  680    1.0000    1.3329    1.0592
  681    1.0000    1.0785    1.0513
  682    1.0000    1.2094    1.7714
  683    1.0000    1.2238    1.0561
  684    1.0000    1.4327    1.1297
  685    1.0000    1.1341    1.0274
  686    1.0000    0.7079    0.8628
  687    1.0000    1.2992    1.0186
  688    1.0000    1.3476    1.0607
  689    1.0000    0.5599    0.7748
  690    1.0000    0.0511    0.5036
  691    1.0000    0.4977    0.7735
  692    1.0000    0.8750    0.8632
  693    1.0000    0.7420    0.7725
  694    1.0000    1.1130    0.9398
  695    1.0000    0.6719    0.8218
  696    1.0000    0.6366    0.7086
  697    1.0000    0.6560    0.8954
  698    1.0000    1.3442    1.0812
  699    1.0000    1.1724    1.1015
  700    1.0000    0.8059    1.0275
  701    1.0000    1.0737    0.9049
  702    1.0000    0.5941    0.8293
  703    1.0000    0.8924    0.8765
  704    1.0000    0.7828    0.8007
  705    1.0000    0.7810    1.0156
  706    1.0000    0.4014    0.8366
  707    1.0000    0.5403    0.8139
  708    1.0000    1.9285    1.3170
  709    1.0000    0.9041    1.2019
  710    1.0000    0.9760    0.9964
  711    1.0000    0.6303    0.6917
  712    1.0000    0.0151    0.3147
  713    1.0000    1.3242    1.0656
  714    1.0000    1.6800    1.4218
  715    1.0000    0.7775    0.9864
  716    1.0000    0.8291    1.1394
  717    1.0000    1.2001    1.0313
  718    1.0000    0.8031    1.0834
  719    1.0000    1.0415    0.8564
  720    1.0000    0.7880    0.9914
  721    1.0000    1.0688    1.0786
  722    1.0000    1.0534    1.1238
  723    1.0000    0.9274    0.9057
  724    1.0000    0.7599    0.9500
  725    1.0000    1.3248    1.2751
  726    1.0000    0.4125    0.6603
  727    1.0000    1.1255    0.8371
  728    1.0000    0.8163    1.0460
  729    1.0000    1.3470    1.1277
  730    1.0000    0.7956    0.9861
  731    1.0000    0.7634    0.8615
  732    1.0000    1.0024    0.8439
  733    1.0000    1.3103    0.9159
  734    1.0000    0.6375    1.0114
  735    1.0000    1.3475    1.1930
  736    1.0000    1.2219    1.0770
  737    1.0000    1.0731    0.7494
  738    1.0000    0.4117    0.7512
  739    1.0000    0.8065    0.7933
  740    1.0000    0.5650    0.8924
  741    1.0000    0.2551    0.7557
  742    1.0000    1.3126    1.1737
  743    1.0000    1.1003    1.2581
  744    1.0000    1.0896    0.7833
  745    1.0000    1.2783    1.0498
  746    1.0000    1.1251    1.2684
  747    1.0000    1.1724    1.0990
  748    1.0000    0.7920    1.1597
  749    1.0000    0.8262    1.1575
  750    1.0000    1.2799    0.8919
  751    1.0000    0.4956    0.5221
  752    1.0000    0.5544    0.5642
  753    1.0000    1.3236    0.8338
  754    1.0000    0.6078    0.6747
  755    1.0000    0.6413    0.9125
  756    1.0000    0.3094    0.9240
  757    1.0000    1.6560    1.2096
  758    1.0000    0.8005    0.7851
  759    1.0000    1.6108    0.9339
  760    1.0000    1.0291    1.2032
  761    1.0000    0.8204    0.8093
  762    1.0000    1.0740    1.0058
  763    1.0000    0.4300    0.7426
  764    1.0000    0.6079    0.6454
  765    1.0000    0.6842    0.8767
  766    1.0000    0.9593    1.0307
  767    1.0000    0.4092    0.8388
  768    1.0000    0.8415    0.7659
  769    1.0000    1.0043    0.9896
  770    1.0000    1.0872    1.1314
  771    1.0000    1.2219    0.9260
  772    1.0000    1.1602    1.0602
  773    1.0000    1.0284    1.1623
  774    1.0000    1.0693    1.1182
  775    1.0000    0.9696    0.8760
  776    1.0000    1.9285    1.2611
