   ID       GA1       GA2       GA3
  241    0.7397    0.8424    0.8970
  242    0.7389    0.8412    0.8957
  243    0.7395    0.8423    0.8970
  244    0.7401    0.8434    0.8983
  245    0.7407    0.8445    0.8995
  246    0.7413    0.8456    0.9008
  247    0.7419    0.8466    0.9020
  248    0.7411    0.8454    0.9006
  249    0.7417    0.8464    0.9018
  250    0.7423    0.8475    0.9030
  251    0.7429    0.8485    0.9042
  252    0.7412    0.8451    0.8992
  253    0.7418    0.8461    0.9004
  254    0.7410    0.8449    0.8991
  255    0.7416    0.8459    0.9003
  256    0.7421    0.8469    0.9015
  257    0.7427    0.8480    0.9026
  258    0.7433    0.8489    0.9038
  259    0.7425    0.8477    0.9024
  260    0.7417    0.8465    0.9011
  261    0.7423    0.8475    0.9023
  262    0.7429    0.8485    0.9034
  263    0.7434    0.8495    0.9045
  264    0.7418    0.8462    0.8997
  265    0.7424    0.8472    0.9009
  266    0.7430    0.8482    0.9020
  267    0.7414    0.8450    0.8974
  268    0.7420    0.8460    0.8986
  269    0.7425    0.8470    0.8997
  270    0.7431    0.8479    0.9009
  271    0.7436    0.8489    0.9020
  272    0.7429    0.8477    0.9007
  273    0.7434    0.8486    0.9018
  274    0.7440    0.8496    0.9029
  275    0.7424    0.8465    0.8984
  276    0.7430    0.8474    0.8995
  277    0.7415    0.8444    0.8952
  278    0.7407    0.8433    0.8940
  279    0.7413    0.8442    0.8952
  280    0.7418    0.8452    0.8963
  281    0.7424    0.8461    0.8975
  282    0.7429    0.8471    0.8986
  283    0.7434    0.8480    0.8997
  284    0.7427    0.8468    0.8984
  285    0.7410    0.8432    0.8930
  286    0.7396    0.8404    0.8889
  287    0.7401    0.8414    0.8901
  288    0.7406    0.8423    0.8913
  289    0.7412    0.8433    0.8925
  290    0.7417    0.8442    0.8936
  291    0.7422    0.8451    0.8948
  292    0.7428    0.8461    0.8959
  293    0.7414    0.8433    0.8919
  294    0.7419    0.8442    0.8931
  295    0.7424    0.8451    0.8942
  296    0.7430    0.8461    0.8953
  297    0.7422    0.8449    0.8941
  298    0.7427    0.8458    0.8952
  299    0.7420    0.8446    0.8939
  300    0.7425    0.8455    0.8951
  301    0.7430    0.8464    0.8961
  302    0.7435    0.8473    0.8972
  303    0.7440    0.8482    0.8983
  304    0.7446    0.8491    0.8993
  305    0.7438    0.8479    0.8980
  306    0.7443    0.8488    0.8991
  307    0.7436    0.8476    0.8978
  308    0.7441    0.8485    0.8988
  309    0.7446    0.8493    0.8999
  310    0.7451    0.8502    0.9009
  311    0.7456    0.8510    0.9019
  312    0.7443    0.8483    0.8980
  313    0.7429    0.8457    0.8943
  314    0.7417    0.8431    0.8907
  315    0.7421    0.8440    0.8918
  316    0.7426    0.8449    0.8929
  317    0.7431    0.8457    0.8939
  318    0.7436    0.8466    0.8950
  319    0.7441    0.8475    0.8960
  320    0.7434    0.8463    0.8948
  321    0.7439    0.8472    0.8958
  322    0.7432    0.8460    0.8946
  323    0.7437    0.8469    0.8956
  324    0.7442    0.8477    0.8966
  325    0.7434    0.8466    0.8954
  326    0.7439    0.8474    0.8964
  327    0.7427    0.8449    0.8929
  328    0.7420    0.8438    0.8918
  329    0.7425    0.8447    0.8928
  330    0.7418    0.8436    0.8917
  331    0.7423    0.8444    0.8927
  332    0.7427    0.8453    0.8937
  333    0.7432    0.8461    0.8947
  334    0.7437    0.8469    0.8957
  335    0.7441    0.8477    0.8967
  336    0.7446    0.8485    0.8977
  337    0.7451    0.8493    0.8986
  338    0.7455    0.8501    0.8996
  339    0.7460    0.8509    0.9005
  340    0.7465    0.8516    0.9014
  341    0.7469    0.8524    0.9023
  342    0.7474    0.8532    0.9032
  343    0.7478    0.8539    0.9041
  344    0.7483    0.8547    0.9050
  345    0.7471    0.8522    0.9016
  346    0.7464    0.8511    0.9003
  347    0.7457    0.8500    0.8990
  348    0.7461    0.8508    0.9000
  349    0.7466    0.8515    0.9009
  350    0.7470    0.8523    0.9018
  351    0.7475    0.8530    0.9026
  352    0.7479    0.8538    0.9035
  353    0.7484    0.8545    0.9044
  354    0.7488    0.8552    0.9052
  355    0.7493    0.8559    0.9061
  356    0.7497    0.8567    0.9069
  357    0.7490    0.8555    0.9056
  358    0.7495    0.8562    0.9064
  359    0.7499    0.8569    0.9072
  360    0.7503    0.8576    0.9080
  361    0.7508    0.8583    0.9088
  362    0.7512    0.8590    0.9096
  363    0.7516    0.8597    0.9104
  364    0.7521    0.8604    0.9112
  365    0.7514    0.8592    0.9098
  366    0.7507    0.8581    0.9085
  367    0.7495    0.8558    0.9052
  368    0.7499    0.8564    0.9060
  369    0.7504    0.8571    0.9068
  370    0.7508    0.8578    0.9076
  371    0.7512    0.8585    0.9084
  372    0.7517    0.8592    0.9092
  373    0.7510    0.8580    0.9079
  374    0.7503    0.8569    0.9066
  375    0.7490    0.8541    0.9024
  376    0.7483    0.8530    0.9012
  377    0.7472    0.8508    0.8981
  378    0.7466    0.8498    0.8969
  379    0.7453    0.8471    0.8929
  380    0.7457    0.8478    0.8938
  381    0.7446    0.8457    0.8908
  382    0.7450    0.8464    0.8917
  383    0.7454    0.8471    0.8926
  384    0.7448    0.8461    0.8915
  385    0.7452    0.8468    0.8925
  386    0.7446    0.8459    0.8914
  387    0.7450    0.8466    0.8923
  388    0.7454    0.8473    0.8932
  389    0.7458    0.8480    0.8941
  390    0.7452    0.8470    0.8930
  391    0.7446    0.8461    0.8920
  392    0.7450    0.8468    0.8929
  393    0.7440    0.8447    0.8900
  394    0.7434    0.8438    0.8890
  395    0.7438    0.8445    0.8899
  396    0.7442    0.8452    0.8908
  397    0.7432    0.8431    0.8880
  398    0.7436    0.8439    0.8889
  399    0.7430    0.8429    0.8879
  400    0.7420    0.8410    0.8852
  401    0.7414    0.8401    0.8843
  402    0.7408    0.8392    0.8834
  403    0.7412    0.8399    0.8843
  404    0.7416    0.8406    0.8852
  405    0.7420    0.8413    0.8862
  406    0.7414    0.8405    0.8853
  407    0.7418    0.8412    0.8862
  408    0.7408    0.8393    0.8835
  409    0.7412    0.8400    0.8844
  410    0.7416    0.8407    0.8853
  411    0.7420    0.8414    0.8862
  412    0.7410    0.8395    0.8836
  413    0.7405    0.8386    0.8827
  414    0.7399    0.8378    0.8819
  415    0.7390    0.8359    0.8794
  416    0.7379    0.8336    0.8759
  417    0.7383    0.8343    0.8768
  418    0.7377    0.8335    0.8760
  419    0.7381    0.8342    0.8770
  420    0.7376    0.8335    0.8762
  421    0.7380    0.8342    0.8772
  422    0.7383    0.8349    0.8781
  423    0.7387    0.8356    0.8790
  424    0.7391    0.8363    0.8799
  425    0.7395    0.8370    0.8808
  426    0.7384    0.8347    0.8774
  427    0.7378    0.8339    0.8767
  428    0.7382    0.8346    0.8776
  429    0.7373    0.8328    0.8752
  430    0.7377    0.8335    0.8761
  431    0.7380    0.8342    0.8770
  432    0.7384    0.8349    0.8780
  433    0.7388    0.8356    0.8789
  434    0.7392    0.8363    0.8798
  435    0.7386    0.8355    0.8790
  436    0.7390    0.8362    0.8798
  437    0.7394    0.8369    0.8807
  438    0.7397    0.8375    0.8816
  439    0.7401    0.8382    0.8825
  440    0.7396    0.8374    0.8817
  441    0.7391    0.8366    0.8809
  442    0.7386    0.8358    0.8801
  443    0.7389    0.8365    0.8809
  444    0.7384    0.8357    0.8802
  445    0.7388    0.8364    0.8810
  446    0.7391    0.8371    0.8819
  447    0.7395    0.8377    0.8827
  448    0.7390    0.8370    0.8820
  449    0.7394    0.8376    0.8828
  450    0.7397    0.8383    0.8836
  451    0.7401    0.8389    0.8844
  452    0.7404    0.8395    0.8853
  453    0.7408    0.8402    0.8861
  454    0.7403    0.8394    0.8853
  455    0.7406    0.8400    0.8861
  456    0.7401    0.8393    0.8853
  457    0.7396    0.8385    0.8845
  458    0.7388    0.8368    0.8821
  459    0.7391    0.8375    0.8830
  460    0.7395    0.8381    0.8838
  461    0.7390    0.8374    0.8830
  462    0.7385    0.8366    0.8823
  463    0.7388    0.8373    0.8831
  464    0.7384    0.8366    0.8824
  465    0.7387    0.8372    0.8832
  466    0.7383    0.8365    0.8825
  467    0.7386    0.8371    0.8833
  468    0.7381    0.8364    0.8825
  469    0.7385    0.8370    0.8833
  470    0.7388    0.8376    0.8841
  471    0.7391    0.8382    0.8849
  472    0.7395    0.8388    0.8857
  473    0.7398    0.8394    0.8864
  474    0.7401    0.8400    0.8872
  475    0.7397    0.8393    0.8865
  476    0.7400    0.8399    0.8872
  477    0.7403    0.8405    0.8880
  478    0.7406    0.8411    0.8887
  479    0.7398    0.8395    0.8864
  480    0.7394    0.8388    0.8857
  481    0.7385    0.8372    0.8834
  482    0.7389    0.8377    0.8842
  483    0.7392    0.8383    0.8849
  484    0.7395    0.8389    0.8857
  485    0.7398    0.8395    0.8864
  486    0.7394    0.8388    0.8857
  487    0.7397    0.8394    0.8865
  488    0.7389    0.8378    0.8842
  489    0.7385    0.8371    0.8835
  490    0.7380    0.8365    0.8828
  491    0.7376    0.8358    0.8822
  492    0.7379    0.8364    0.8829
  493    0.7375    0.8357    0.8823
  494    0.7378    0.8363    0.8830
  495    0.7370    0.8348    0.8809
  496    0.7362    0.8333    0.8788
  497    0.7358    0.8326    0.8781
  498    0.7361    0.8332    0.8789
  499    0.7364    0.8338    0.8797
  500    0.7360    0.8332    0.8791
  501    0.7363    0.8338    0.8798
  502    0.7366    0.8344    0.8806
  503    0.7359    0.8329    0.8785
  504    0.7362    0.8335    0.8793
  505    0.7365    0.8340    0.8800
  506    0.7368    0.8346    0.8808
  507    0.7371    0.8352    0.8815
  508    0.7363    0.8337    0.8795
  509    0.7366    0.8343    0.8802
  510    0.7370    0.8349    0.8810
  511    0.7373    0.8354    0.8817
  512    0.7376    0.8360    0.8824
  513    0.7379    0.8366    0.8832
  514    0.7382    0.8371    0.8839
  515    0.7385    0.8377    0.8846
  516    0.7381    0.8370    0.8839
  517    0.7372    0.8352    0.8811
  518    0.7368    0.8345    0.8804
  519    0.7371    0.8351    0.8812
  520    0.7366    0.8345    0.8805
  521    0.7370    0.8350    0.8812
  522    0.7373    0.8356    0.8820
  523    0.7376    0.8361    0.8827
  524    0.7371    0.8355    0.8820
  525    0.7374    0.8361    0.8827
  526    0.7370    0.8354    0.8821
  527    0.7366    0.8348    0.8815
  528    0.7362    0.8342    0.8809
  529    0.7358    0.8336    0.8803
  530    0.7355    0.8331    0.8797
  531    0.7351    0.8325    0.8791
  532    0.7344    0.8311    0.8772
  533    0.7346    0.8316    0.8779
  534    0.7343    0.8311    0.8773
  535    0.7346    0.8316    0.8781
  536    0.7349    0.8322    0.8788
  537    0.7345    0.8316    0.8782
  538    0.7348    0.8322    0.8789
  539    0.7351    0.8327    0.8796
  540    0.7353    0.8333    0.8803
  541    0.7356    0.8338    0.8810
  542    0.7359    0.8343    0.8817
  543    0.7355    0.8338    0.8811
  544    0.7358    0.8343    0.8818
  545    0.7354    0.8337    0.8813
  546    0.7357    0.8343    0.8819
  547    0.7360    0.8348    0.8826
  548    0.7363    0.8353    0.8833
  549    0.7366    0.8358    0.8839
  550    0.7362    0.8353    0.8834
  551    0.7365    0.8358    0.8840
  552    0.7361    0.8352    0.8834
  553    0.7358    0.8347    0.8829
  554    0.7360    0.8352    0.8835
  555    0.7363    0.8357    0.8842
  556    0.7355    0.8340    0.8816
  557    0.7358    0.8345    0.8822
  558    0.7360    0.8350    0.8829
  559    0.7363    0.8355    0.8835
  560    0.7366    0.8360    0.8842
  561    0.7369    0.8365    0.8848
  562    0.7365    0.8360    0.8843
  563    0.7361    0.8354    0.8837
  564    0.7364    0.8359    0.8843
  565    0.7367    0.8364    0.8850
  566    0.7363    0.8359    0.8844
  567    0.7366    0.8364    0.8850
  568    0.7362    0.8359    0.8845
  569    0.7365    0.8363    0.8851
  570    0.7368    0.8368    0.8857
  571    0.7371    0.8373    0.8864
  572    0.7373    0.8378    0.8870
  573    0.7376    0.8383    0.8876
  574    0.7379    0.8388    0.8882
  575    0.7381    0.8393    0.8888
  576    0.7384    0.8398    0.8894
  577    0.7387    0.8403    0.8900
  578    0.7389    0.8407    0.8906
  579    0.7392    0.8412    0.8912
  580    0.7388    0.8407    0.8906
  581    0.7391    0.8411    0.8912
  582    0.7394    0.8416    0.8917
  583    0.7387    0.8402    0.8898
  584    0.7390    0.8407    0.8904
  585    0.7392    0.8412    0.8910
  586    0.7395    0.8417    0.8916
  587    0.7391    0.8411    0.8910
  588    0.7394    0.8416    0.8915
  589    0.7397    0.8420    0.8921
